mechanism,het,info,concentration,n,outcome_from,rho,platform,coef_spread,miss,n_pat,cov30,eff_pat,prev,mean_impute,mean_indicator,tuned_impute,tuned_indicator,safe_adaptive,safe_oracle,delta_vs_tuned_ind,p_vs_tuned_ind,wins,n_folds,kappa_median
MAR,0.0,0.0,0.9,1000,pattern,,Linux-x86_64,1.0408340855860843e-16,0.1224375,12,0.943,2.973572115717008,0.097,0.7477301596104947,0.7409932466563489,0.7448115520542937,0.7345515346233052,0.7299984076692784,0.740466627167727,-0.004553126954026951,0.04685328478814715,3,25,1000000000.0
MAR,0.0,0.0,0.9,4000,pattern,,Linux-x86_64,1.0408340855860843e-16,0.15184375,12,0.982,2.867321830264796,0.09725,0.6771216132879723,0.6849192586131068,0.6772312960064455,0.6851916352489503,0.6883772604794955,0.6961941210349569,0.003185625230545126,0.14917758906284398,15,25,1000.0
MAR,0.0,0.0,0.5,1000,pattern,,Linux-x86_64,7.697835424647081e-16,0.1178125,57,0.702,14.345958887345661,0.094,0.6941343991997933,0.6689194924078096,0.695123047504487,0.6644561209939437,0.6623328669168922,0.6869506262605154,-0.0021232540770515286,0.7711594104766846,11,25,300.0
MAR,0.0,0.0,0.5,4000,pattern,,Linux-x86_64,3.3133218391157016e-16,0.11584375,60,0.8565,13.95740703241044,0.10775,0.7959776274935446,0.7909083454762162,0.7953170368277606,0.7917658428853946,0.7973451782619858,0.8002095859097463,0.005579335376591281,0.010510802268981934,19,25,1000.0
MAR,0.0,0.0,0.1,1000,pattern,,Linux-x86_64,3.301178774783864e-15,0.1161875,197,0.0,150.21272667168074,0.099,0.7187765394586165,0.6979126960794705,0.7180530170571865,0.6970123775648964,0.6945926412733125,0.7055662802778834,-0.002419736291583898,0.6147180560272906,11,25,1000.0
MAR,0.0,0.0,0.1,4000,pattern,,Linux-x86_64,1.381327777855157e-15,0.11921875,215,0.3665,161.16511830275894,0.0985,0.6085952635968588,0.5936360895580781,0.6082872326954882,0.5936115760192312,0.6105963165299011,0.6170396752564192,0.016984740510669963,0.00028705596923828125,21,25,300.0
MAR,0.0,1.5,0.9,1000,pattern,,Linux-x86_64,1.0408340855860843e-16,0.1224375,12,0.943,2.973572115717008,0.102,0.7257337151900063,0.7409195878856676,0.7263349501103735,0.7382023971551276,0.735480436667113,0.7425810976355923,-0.0027219604880143367,0.3734721582867646,6,25,1000000000.0
MAR,0.0,1.5,0.9,4000,pattern,,Linux-x86_64,1.0408340855860843e-16,0.15184375,12,0.982,2.867321830264796,0.09925,0.6191226695803087,0.6838663302351132,0.6188063344574359,0.6822640511253881,0.6955900046665097,0.6985711772791053,0.013325953541121706,5.3882598876953125e-05,21,25,300.0
MAR,0.0,1.5,0.5,1000,pattern,,Linux-x86_64,7.697835424647081e-16,0.1178125,57,0.702,14.345958887345661,0.102,0.6672496773472492,0.6753684968103321,0.6707285096491198,0.674852726656529,0.6771321040329146,0.707736138988958,0.002279377376385674,0.5429891412666084,14,25,300.0
MAR,0.0,1.5,0.5,4000,pattern,,Linux-x86_64,3.3133218391157016e-16,0.11584375,60,0.8565,13.95740703241044,0.10725,0.7818734142257839,0.7861140982119508,0.7814190814296238,0.786630446519776,0.7876439527116181,0.7922464030369943,0.0010135061918422129,0.39136593830755195,14,25,1000.0
