cohort,feature_set,subsample_n,pattern_size,ancestor_size,n_shared,mean_abs_diff
lung,baseline,40000,64,33,33,0.29984743704554223
lung,baseline,40000,64,14,14,0.2603657773915436
lung,baseline,40000,64,62,62,0.01585823668867908
lung,baseline,40000,65,14,14,0.22223160074518658
lung,baseline,40000,65,37,37,0.03933855819695873
lung,baseline,40000,65,34,34,0.040720128674830464
lung,baseline,40000,65,63,63,0.2856363678604192
lung,baseline,40000,65,63,63,0.2155878367176966
lung,baseline,40000,65,61,61,0.2758537583514559
lung,baseline,40000,65,14,14,0.24920818823186477
lung,baseline,40000,65,47,47,0.13318912083570714
lung,baseline,40000,65,37,37,0.17562167470629944
lung,baseline,40000,65,60,60,0.005477520049012548
lung,baseline,40000,65,47,47,0.03347070282918327
lung,baseline,40000,65,46,46,0.027035636133504518
lung,baseline,40000,65,53,53,0.25402149795554707
lung,baseline,40000,65,52,52,0.2697346377647697
lung,baseline,40000,65,51,51,0.16892207606332205
lung,baseline,40000,65,44,44,0.23925745690299827
lung,baseline,40000,65,37,37,0.25514282928451626
lung,baseline,40000,65,14,14,0.2202733529667528
lung,baseline,40000,65,60,60,0.009362004165494325
lung,baseline,40000,65,37,37,0.10197908461179539
lung,baseline,40000,65,37,37,0.037964421033007206
lung,baseline,40000,66,65,65,0.008568278513899954
lung,baseline,40000,66,65,65,0.004596511264564872
lung,baseline,40000,66,64,64,0.0029263119751608
lung,baseline,40000,66,65,65,0.11942787549820433
lung,baseline,40000,66,37,37,0.2676585678917369
lung,baseline,40000,66,35,35,0.26047268826779174
lung,baseline,40000,66,62,62,0.12763758019909688
lung,baseline,40000,66,61,61,0.08991906980610417
lung,baseline,40000,66,59,59,0.07217096696763417
lung,baseline,40000,66,57,57,0.02482203702121395
lung,baseline,40000,66,54,54,0.023512502163557384
lung,baseline,40000,66,52,52,0.03115721886014527
lung,baseline,40000,66,44,44,0.030351852908426225
lung,baseline,40000,66,46,46,0.22508501297752184
lung,baseline,40000,66,64,64,0.14345196239989624
lung,baseline,40000,66,59,59,0.23670525957762212
lung,baseline,40000,66,65,65,0.00788934602705013
lung,baseline,40000,66,65,65,0.03250754011974604
lung,baseline,40000,66,65,65,0.09835362738843069
lung,baseline,40000,66,14,14,0.15656128051282245
lung,baseline,40000,66,33,33,0.2989669582789522
lung,baseline,40000,66,34,34,0.1758188517082177
lung,baseline,40000,66,57,57,0.2513843637809405
lung,baseline,40000,66,54,54,0.25131337445700475
lung,baseline,40000,66,47,47,0.21323164444442488
lung,baseline,40000,66,44,44,0.21571818340376672
lung,baseline,40000,66,64,64,0.11632061282125816
lung,baseline,40000,66,37,37,0.04419468032837438
lung,baseline,40000,66,14,14,0.2891775082902792
lung,baseline,40000,66,37,37,0.26207989757211214
lung,baseline,40000,66,35,35,0.2319444606463641
lung,baseline,40000,67,47,47,0.14662405790675287
lung,baseline,40000,67,46,46,0.15371129628874733
lung,baseline,40000,67,66,66,0.10277202013460397
lung,baseline,40000,67,66,66,0.009490219591293304
lung,baseline,40000,67,63,63,0.011095754612959904
lung,baseline,40000,67,66,66,0.027652331977381612
lung,baseline,40000,67,64,64,0.06257377673233816
lung,baseline,40000,67,62,62,0.08113265883348042
