idea,cohort,arm,permuted,seed,fold,auprc,auroc,n_test,kappa_chosen
M1,mimic4,idea_M1_mean_impute,0,1,0,0.34318927694795226,0.7792888852388709,13398,
M1,mimic4,idea_M1_mean_indicator,0,1,0,0.37325430561231715,0.8091631136022484,13398,
M1,mimic4,idea_M1_mask_interaction,0,1,0,0.37612641962887766,0.8073501667601983,13398,
M1,mimic4,idea_M1_histgb_native,0,1,0,0.43515973749743647,0.841394797355562,13398,
M1,mimic4,idea_M1_pattern_submodels,0,1,0,0.35117480358781583,0.7896328652185219,13398,
M1,mimic4,idea_M1_spsm_global,0,1,0,0.34882793471869133,0.786972743490421,13398,
M1,mimic4,idea_M1_ours,0,1,0,0.35006746296505337,0.787962354626626,13398,
M1,mimic4,idea_M1_rooted_cv,0,1,0,0.3526555772757736,0.7859326024172244,13398,0.0
M1,mimic4,idea_M1_mean_impute,0,1,1,0.3645226603352793,0.7798627921031277,13398,
M1,mimic4,idea_M1_mean_indicator,0,1,1,0.38871355371317373,0.8035046305086055,13398,
M1,mimic4,idea_M1_mask_interaction,0,1,1,0.38792380538340004,0.8026990272856911,13398,
M1,mimic4,idea_M1_histgb_native,0,1,1,0.4384874505071749,0.8329426057006545,13398,
M1,mimic4,idea_M1_pattern_submodels,0,1,1,0.367694303943146,0.7882094547860464,13398,
M1,mimic4,idea_M1_spsm_global,0,1,1,0.36519320052025084,0.7856693024418829,13398,
M1,mimic4,idea_M1_ours,0,1,1,0.3670622344422422,0.7863651284037718,13398,
M1,mimic4,idea_M1_rooted_cv,0,1,1,0.37063564653570363,0.7869480992375041,13398,0.0
M1,mimic4,idea_M1_mean_impute,0,1,2,0.3660263860461575,0.7765917603102991,13398,
M1,mimic4,idea_M1_mean_indicator,0,1,2,0.3908566935682181,0.8045378819041762,13398,
M1,mimic4,idea_M1_mask_interaction,0,1,2,0.39710835934945765,0.8071585717716152,13398,
M1,mimic4,idea_M1_histgb_native,0,1,2,0.44660677684155264,0.8429879660524934,13398,
M1,mimic4,idea_M1_pattern_submodels,0,1,2,0.3725659160937665,0.7864843102588104,13398,
M1,mimic4,idea_M1_spsm_global,0,1,2,0.37008787948585414,0.7835786326940053,13398,
M1,mimic4,idea_M1_ours,0,1,2,0.37076936028493723,0.7843638307977884,13398,
M1,mimic4,idea_M1_rooted_cv,0,1,2,0.3755727746385233,0.7840932634779089,13398,0.0
M1,mimic4,idea_M1_mean_impute,0,1,3,0.3492531981061218,0.7755768336236694,13398,
M1,mimic4,idea_M1_mean_indicator,0,1,3,0.3808812459931877,0.801950507098559,13398,
M1,mimic4,idea_M1_mask_interaction,0,1,3,0.3832311806020561,0.8021757898733269,13398,
M1,mimic4,idea_M1_histgb_native,0,1,3,0.43918868608465084,0.8375960273170967,13398,
M1,mimic4,idea_M1_pattern_submodels,0,1,3,0.3619892747305593,0.7877256026734583,13398,
M1,mimic4,idea_M1_spsm_global,0,1,3,0.3595069103550941,0.7850633615997431,13398,
M1,mimic4,idea_M1_ours,0,1,3,0.36071887262178387,0.7858625241006969,13398,
M1,mimic4,idea_M1_rooted_cv,0,1,3,0.3594960821194066,0.7844603276321165,13398,0.0
M1,mimic4,idea_M1_mean_impute,0,1,4,0.36711614743895665,0.7809342148865919,13397,
M1,mimic4,idea_M1_mean_indicator,0,1,4,0.39682163023962497,0.8124003219129523,13397,
M1,mimic4,idea_M1_mask_interaction,0,1,4,0.3985512494119704,0.8127352676628631,13397,
M1,mimic4,idea_M1_histgb_native,0,1,4,0.44928326937777935,0.8380641533044842,13397,
M1,mimic4,idea_M1_pattern_submodels,0,1,4,0.38251022614660857,0.7931006308786616,13397,
M1,mimic4,idea_M1_spsm_global,0,1,4,0.38000021841406056,0.7903340274652664,13397,
M1,mimic4,idea_M1_ours,0,1,4,0.38111287705609814,0.7912620653191267,13397,
M1,mimic4,idea_M1_rooted_cv,0,1,4,0.3783423907178472,0.7887054125750241,13397,0.0
