idea,cohort,arm,permuted,seed,fold,auprc,auroc,n_test,kappa_chosen
M1,mimic4,idea_M1_mean_impute,0,8,0,0.3585978280171828,0.7727646206034392,13398,
M1,mimic4,idea_M1_mean_indicator,0,8,0,0.3984924145469865,0.8052470434854022,13398,
M1,mimic4,idea_M1_mask_interaction,0,8,0,0.3972474360404038,0.8057636921301048,13398,
M1,mimic4,idea_M1_histgb_native,0,8,0,0.46246704772408226,0.8394583487318469,13398,
M1,mimic4,idea_M1_pattern_submodels,0,8,0,0.3659918812617308,0.7830575573623145,13398,
M1,mimic4,idea_M1_spsm_global,0,8,0,0.3628578314467318,0.7801575610123325,13398,
M1,mimic4,idea_M1_ours,0,8,0,0.36496821091894455,0.7815096645633437,13398,
M1,mimic4,idea_M1_rooted_cv,0,8,0,0.36900878063081866,0.7820742196945847,13398,0.0
M1,mimic4,idea_M1_mean_impute,0,8,1,0.3545091656937819,0.7889142008628629,13398,
M1,mimic4,idea_M1_mean_indicator,0,8,1,0.3777876431407187,0.8155500060217901,13398,
M1,mimic4,idea_M1_mask_interaction,0,8,1,0.37998153109190624,0.8134991490552343,13398,
M1,mimic4,idea_M1_histgb_native,0,8,1,0.43177566859337124,0.8398240326363351,13398,
M1,mimic4,idea_M1_pattern_submodels,0,8,1,0.36365506560524263,0.7994094712925337,13398,
M1,mimic4,idea_M1_spsm_global,0,8,1,0.36147190919341343,0.7969708315661721,13398,
M1,mimic4,idea_M1_ours,0,8,1,0.36211677553846455,0.7976850107357716,13398,
M1,mimic4,idea_M1_rooted_cv,0,8,1,0.3636522309304591,0.7960922144951925,13398,0.0
M1,mimic4,idea_M1_mean_impute,0,8,2,0.3713039289052115,0.780401618342538,13398,
M1,mimic4,idea_M1_mean_indicator,0,8,2,0.3942808538895479,0.8049379476337385,13398,
M1,mimic4,idea_M1_mask_interaction,0,8,2,0.39830670069644564,0.8060190484636969,13398,
M1,mimic4,idea_M1_histgb_native,0,8,2,0.44653729754204535,0.8352882539413656,13398,
M1,mimic4,idea_M1_pattern_submodels,0,8,2,0.38219916895305617,0.7884884862405375,13398,
M1,mimic4,idea_M1_spsm_global,0,8,2,0.37990701399808785,0.7856584444106132,13398,
M1,mimic4,idea_M1_ours,0,8,2,0.3814451947088197,0.7869944097383259,13398,
M1,mimic4,idea_M1_rooted_cv,0,8,2,0.3793931303549342,0.7862688310608319,13398,0.0
M1,mimic4,idea_M1_mean_impute,0,8,3,0.364980792948178,0.7758222935274107,13398,
M1,mimic4,idea_M1_mean_indicator,0,8,3,0.3894170691426608,0.8054069803860635,13398,
M1,mimic4,idea_M1_mask_interaction,0,8,3,0.3924955987105013,0.8047371738009442,13398,
M1,mimic4,idea_M1_histgb_native,0,8,3,0.45151760197868224,0.8400799800873398,13398,
M1,mimic4,idea_M1_pattern_submodels,0,8,3,0.3672399658435481,0.7872347113647452,13398,
M1,mimic4,idea_M1_spsm_global,0,8,3,0.3646089134702651,0.7846185243029242,13398,
M1,mimic4,idea_M1_ours,0,8,3,0.3663906463538907,0.7849861014349871,13398,
M1,mimic4,idea_M1_rooted_cv,0,8,3,0.374784719594729,0.7851711724456567,13398,0.0
M1,mimic4,idea_M1_mean_impute,0,8,4,0.34211834975191596,0.7747096994243324,13397,
M1,mimic4,idea_M1_mean_indicator,0,8,4,0.3681949611670755,0.8003906417098574,13397,
M1,mimic4,idea_M1_mask_interaction,0,8,4,0.3763884921199715,0.8022873557908113,13397,
M1,mimic4,idea_M1_histgb_native,0,8,4,0.4365506367433603,0.8357601999464999,13397,
M1,mimic4,idea_M1_pattern_submodels,0,8,4,0.3530833434957342,0.7854801801663065,13397,
M1,mimic4,idea_M1_spsm_global,0,8,4,0.350609256846124,0.7829501063442061,13397,
M1,mimic4,idea_M1_ours,0,8,4,0.3517151984281317,0.7836266710926845,13397,
M1,mimic4,idea_M1_rooted_cv,0,8,4,0.35354945838530183,0.7817624391921604,13397,0.0
