dataset,fold,arm,auprc,logloss,w_tree
cand_acs_income,0,histgb_native,0.7980811830080085,0.32234711967434215,
cand_acs_income,0,family_cv,0.7350098649340385,0.3715970514012466,
cand_acs_income,0,blend50,0.7875881372689175,0.3352204436314804,
cand_acs_income,0,blend_cv,0.7983344335979962,0.32265752510042384,0.9
cand_acs_income,0,stack_tree_on_hier,0.7947785738908971,0.32415644767371354,
cand_acs_income,0,hier_on_tree_logit,0.798059168194314,0.32222168181602306,
cand_acs_income,1,histgb_native,0.8011590944615313,0.324857085391564,
cand_acs_income,1,family_cv,0.736983212412346,0.3735844228291223,
cand_acs_income,1,blend50,0.787854155847893,0.33822839306890246,
cand_acs_income,1,blend_cv,0.8007841347549022,0.3253611321902807,0.9
cand_acs_income,1,stack_tree_on_hier,0.7986196244532439,0.327545269820751,
cand_acs_income,1,hier_on_tree_logit,0.8006761248211686,0.3252911969636122,
cand_acs_income,2,histgb_native,0.8042555008528716,0.3217512933155864,
cand_acs_income,2,family_cv,0.7384202171287826,0.37410267228835137,
cand_acs_income,2,blend50,0.7936524088876731,0.3370218722338518,
cand_acs_income,2,blend_cv,0.8049426537788902,0.32280886994920566,0.9
cand_acs_income,2,stack_tree_on_hier,0.8007080375666421,0.32403712565184384,
cand_acs_income,2,hier_on_tree_logit,0.8048711804628325,0.3216912377835614,
