dataset,fold,arm,n_patterns,worst_logloss,median_logloss,worst_auprc,median_auprc,small_mean_logloss,small_mean_auprc,n_small,pooled_auprc
mimic4,0,mean_indicator,46,0.6299315157924529,0.3342695635784342,0.05263157894736842,0.36895370858089727,0.3532533935891948,0.4182986918980394,32,0.39239567325275665
mimic4,0,histgb_native,46,0.5785952595939928,0.3262773462307845,0.043478260869565216,0.40452365809851965,0.32912435123817113,0.4701793006589927,32,0.4342647084607976
mimic4,0,family_cv,46,0.6915364273387998,0.3300155605427574,0.05263157894736842,0.34973046267091723,0.35795885116547177,0.41196053362197815,32,0.38368745668081383
mimic4,1,mean_indicator,44,0.6091562513458448,0.32416924836518435,0.05263157894736842,0.34197837939522224,0.3317720499234274,0.3509003450394397,31,0.36447156539237335
mimic4,1,histgb_native,44,0.5414535068449027,0.3212221215158203,0.021739130434782608,0.3731466302907761,0.31615192556034777,0.390682570695016,31,0.4207723557839989
mimic4,1,family_cv,44,0.6551706647909814,0.33045884001774195,0.041666666666666664,0.36185557499417553,0.3453457504130949,0.35924282472816593,31,0.3443379934465946
mimic4,2,mean_indicator,43,0.610771127952438,0.2876661330139626,0.014285714285714285,0.2821586535084494,0.33682186443906675,0.3160012580215607,29,0.39844819898862127
mimic4,2,histgb_native,43,0.6508441964608869,0.29448787891898215,0.0196078431372549,0.2578705945361082,0.33831979233957027,0.33418959605686027,29,0.4186835570222182
mimic4,2,family_cv,43,0.651561453179213,0.28602428752444875,0.013157894736842105,0.2611250889666171,0.35435200715907633,0.304524159575593,29,0.3736602211073607
