dataset,fold,arm,auprc,logloss,w_tree
cand_mimic4_regime,0,histgb_native,0.4715564946946873,0.2587471038330267,
cand_mimic4_regime,0,family_cv,0.3990146520496807,0.28968163102734223,
cand_mimic4_regime,0,blend50,0.46694005386851706,0.2657169786314747,
cand_mimic4_regime,0,blend_cv,0.47341651239906646,0.2604371994250263,0.7000000000000001
cand_mimic4_regime,0,stack_tree_on_hier,0.46713688426328936,0.2591805151419815,
cand_mimic4_regime,0,hier_on_tree_logit,0.47643038131260085,0.25760777383982886,
cand_mimic4_regime,1,histgb_native,0.4770286841520218,0.2555449939674833,
cand_mimic4_regime,1,family_cv,0.41056233372164924,0.285922266702527,
cand_mimic4_regime,1,blend50,0.4793436455289397,0.26244852348327463,
cand_mimic4_regime,1,blend_cv,0.48326515881686166,0.25737334781043514,0.7000000000000001
cand_mimic4_regime,1,stack_tree_on_hier,0.4635678740297825,0.2580350287931497,
cand_mimic4_regime,1,hier_on_tree_logit,0.4843280548548563,0.25412112701716505,
cand_mimic4_regime,2,histgb_native,0.4598537806864628,0.2609789763215831,
cand_mimic4_regime,2,family_cv,0.38996154688360063,0.29088712146770174,
cand_mimic4_regime,2,blend50,0.4521136536699019,0.2680255058670433,
cand_mimic4_regime,2,blend_cv,0.45629903619431744,0.2651954030482624,0.6000000000000001
cand_mimic4_regime,2,stack_tree_on_hier,0.4467714928815016,0.26220778590232885,
cand_mimic4_regime,2,hier_on_tree_logit,0.46189785256573973,0.2601814120413596,
