dataset,fold,arm,auprc,logloss,w_tree
mimic4,0,histgb_native,0.4342647084607976,0.265184832270725,
mimic4,0,family_cv,0.38368745668081383,0.2905101697082828,
mimic4,0,blend50,0.43822389473969736,0.27053660575612537,
mimic4,0,blend_cv,0.44011032834976105,0.26640893759835316,0.7000000000000001
mimic4,0,stack_tree_on_hier,0.4329230446541342,0.2646114844265914,
mimic4,0,hier_on_tree_logit,0.4377328503903932,0.26530159578500173,
mimic4,1,histgb_native,0.4207723557839989,0.2729003766996758,
mimic4,1,family_cv,0.3443379934465946,0.2966668783364531,
mimic4,1,blend50,0.4115804266987431,0.2770199721430969,
mimic4,1,blend_cv,0.41689749813747523,0.27484102730868576,0.6000000000000001
mimic4,1,stack_tree_on_hier,0.42199026010098306,0.2704068753494214,
mimic4,1,hier_on_tree_logit,0.42090979792898114,0.2716776347458253,
mimic4,2,histgb_native,0.4186835570222182,0.27167394540706913,
mimic4,2,family_cv,0.3736602211073607,0.2921907533316325,
mimic4,2,blend50,0.42298211494025273,0.27490489406083307,
mimic4,2,blend_cv,0.424832626193914,0.27296971334968956,0.6000000000000001
mimic4,2,stack_tree_on_hier,0.42223379002941214,0.27115328614287937,
mimic4,2,hier_on_tree_logit,0.4264910671529099,0.2693985658403883,
