dataset,fold,coverage,rule,auprc,auroc,logloss,prevalence,full_auroc
cand_higgs,0,0.5,tree_confidence,0.9099059141134079,0.9501065574500516,0.18050498221932101,0.22948852557372132,0.8994919369009801
cand_higgs,0,0.5,lattice_support,0.7809216024567186,0.8674173713049311,0.42735131910282764,0.3448327583620819,0.8994919369009801
cand_higgs,0,0.5,pattern_depth,0.879476654035414,0.9029001728538301,0.3873327587513504,0.4216289185540723,0.8994919369009801
cand_higgs,0,0.5,random,0.8369035317789487,0.902185085434681,0.367643287397112,0.33553322333883306,0.8994919369009801
cand_higgs,0,0.7,tree_confidence,0.8876218362885909,0.9358957896033753,0.2573318402997143,0.2830815386263795,0.8994919369009801
cand_higgs,0,0.7,lattice_support,0.8190996156461663,0.8793206204610351,0.4166154648543434,0.36933461909353904,0.8994919369009801
cand_higgs,0,0.7,pattern_depth,0.8579320172437622,0.8968305235257569,0.39145094624808596,0.3887281688631737,0.8994919369009801
cand_higgs,0,0.7,random,0.8363818762204261,0.8996874977667473,0.373714122900789,0.3415836279867138,0.8994919369009801
cand_higgs,0,0.9,tree_confidence,0.8551694827650118,0.9137127403555547,0.339497629189478,0.32516666666666666,0.8994919369009801
cand_higgs,0,0.9,lattice_support,0.8425516603365865,0.8942458785626759,0.3915610539355072,0.36925,0.8994919369009801
cand_higgs,0,0.9,pattern_depth,0.8409195567330787,0.8907902454873655,0.3985112354045467,0.37383333333333335,0.8994919369009801
cand_higgs,0,0.9,random,0.8363243318145227,0.8988780160803319,0.37532056484880255,0.3421666666666667,0.8994919369009801
cand_higgs,1,0.5,tree_confidence,0.9059275579073004,0.9493650148406245,0.18022167175342219,0.22502250225022502,0.8999134462834386
cand_higgs,1,0.5,lattice_support,0.7824262128772118,0.8683869333938553,0.42827812739929383,0.35088508850885086,0.8999134462834386
cand_higgs,1,0.5,pattern_depth,0.8750693564551069,0.9005246447523323,0.3913456448878053,0.41914191419141916,0.8999134462834386
cand_higgs,1,0.5,random,0.8409554688993081,0.9047317072387591,0.36499017934963374,0.3396339633963396,0.8999134462834386
cand_higgs,1,0.7,tree_confidence,0.8862376309868618,0.9366128676765813,0.2565610140748379,0.28522447230258224,0.8999134462834386
cand_higgs,1,0.7,lattice_support,0.8217823325324338,0.8798910921309913,0.41732129078798996,0.374799099967856,0.8999134462834386
cand_higgs,1,0.7,pattern_depth,0.8559275848324408,0.8970852586338821,0.39103952141082093,0.3869066752384014,0.8999134462834386
cand_higgs,1,0.7,random,0.8351161001689046,0.9010269074651208,0.37139495094381697,0.3391192542590807,0.8999134462834386
cand_higgs,1,0.9,tree_confidence,0.8541307312169575,0.9141768808526787,0.33972253788901596,0.3265272106008834,0.8999134462834386
cand_higgs,1,0.9,lattice_support,0.8414245439748361,0.8938567709598709,0.3928914688396755,0.3706975581298442,0.8999134462834386
cand_higgs,1,0.9,pattern_depth,0.8397995940500291,0.8905681648745528,0.39927666998185873,0.3743645303775315,0.8999134462834386
cand_higgs,1,0.9,random,0.8354018850412349,0.899921638414522,0.3740502696275916,0.34202850237519794,0.8999134462834386
cand_higgs,2,0.5,tree_confidence,0.9125917245145321,0.9524531560122125,0.16942701970067633,0.22052205220522053,0.9045580517199006
cand_higgs,2,0.5,lattice_support,0.7921284285959711,0.8757033866620082,0.4165661543604471,0.3478847884788479,0.9045580517199006
cand_higgs,2,0.5,pattern_depth,0.8834062469130576,0.9068248184112713,0.38064509014861264,0.4207920792079208,0.9045580517199006
cand_higgs,2,0.5,random,0.8419748304132902,0.9050745002492723,0.3639924528855005,0.3384338433843384,0.9045580517199006
cand_higgs,2,0.7,tree_confidence,0.8953913132081316,0.9413365649285391,0.24521044637190442,0.28318868531018965,0.9045580517199006
cand_higgs,2,0.7,lattice_support,0.8310542720445542,0.8879629248993941,0.4044768650555959,0.3736204864459445,0.9045580517199006
cand_higgs,2,0.7,pattern_depth,0.8632021699668435,0.9027590121682268,0.3822354101396499,0.3893710489660345,0.9045580517199006
cand_higgs,2,0.7,random,0.8421551116073399,0.9055962094587399,0.3637597528362215,0.3394406943105111,0.9045580517199006
cand_higgs,2,0.9,tree_confidence,0.8632616573725738,0.919427677170626,0.3301121842087456,0.32661055087923996,0.9045580517199006
cand_higgs,2,0.9,lattice_support,0.8503231795833489,0.900530318027092,0.3818540666489735,0.3708642386865572,0.9045580517199006
cand_higgs,2,0.9,pattern_depth,0.848025629562214,0.8969406513625751,0.38862273583411705,0.3738644887073923,0.9045580517199006
cand_higgs,2,0.9,random,0.8407039845710782,0.9037511205459844,0.3666241373434676,0.3399449954162847,0.9045580517199006
