dataset,fold,coverage,rule,auprc,auroc,logloss,prevalence,full_auroc
cand_nhanes,0,0.5,tree_confidence,0.35037684312980405,0.7952078547943972,0.03097611851509087,0.007243460764587525,0.914387201735358
cand_nhanes,0,0.5,lattice_support,0.3953224348269768,0.891541782166782,0.13485815036729298,0.047082494969818915,0.914387201735358
cand_nhanes,0,0.5,pattern_depth,0.6341437855391175,0.9239435957696827,0.15679038950984645,0.0744466800804829,0.914387201735358
cand_nhanes,0,0.5,random,0.5637170099892701,0.9065065799570288,0.1703979815561222,0.07283702213279677,0.914387201735358
cand_nhanes,0,0.7,tree_confidence,0.38928875425471954,0.8331815311376664,0.05104057400573804,0.013797068123023858,0.914387201735358
cand_nhanes,0,0.7,lattice_support,0.37747713271508704,0.8947124141180441,0.14179015829087313,0.049439494107502154,0.914387201735358
cand_nhanes,0,0.7,pattern_depth,0.5970858865446984,0.9175441234809258,0.15310995192690655,0.06841046277665996,0.914387201735358
cand_nhanes,0,0.7,random,0.5682364997519094,0.9067396855423108,0.172987846231847,0.07415924116125323,0.914387201735358
cand_nhanes,0,0.9,tree_confidence,0.4717345222350123,0.8871923955012678,0.1147935143697369,0.039570757880617036,0.914387201735358
cand_nhanes,0,0.9,lattice_support,0.55485791506419,0.9117033549695267,0.1521783024332899,0.06416275430359937,0.914387201735358
cand_nhanes,0,0.9,pattern_depth,0.578769630188651,0.9153302895933257,0.15293809904087033,0.0668455175497429,0.914387201735358
cand_nhanes,0,0.9,random,0.575292420609524,0.910168633989239,0.16750611939874427,0.07288173485356583,0.914387201735358
cand_nhanes,1,0.5,tree_confidence,0.2454382265952782,0.5894270187815807,0.03656816081844064,0.006841046277665996,0.8982146300313328
cand_nhanes,1,0.5,lattice_support,0.30649311513010846,0.8532695868872321,0.16441267148788832,0.04949698189134809,0.8982146300313328
cand_nhanes,1,0.5,pattern_depth,0.5824975950009152,0.9123997439846391,0.16295300679904343,0.06961770623742455,0.8982146300313328
cand_nhanes,1,0.5,random,0.5979434806458681,0.9060685074889541,0.17415791473730946,0.07565392354124749,0.8982146300313328
cand_nhanes,1,0.7,tree_confidence,0.3679564810736766,0.7840546720395377,0.06648782245535576,0.01638401839609083,0.8982146300313328
cand_nhanes,1,0.7,lattice_support,0.3235177324250446,0.8666921232949363,0.15709830248456427,0.049152055188272495,0.8982146300313328
cand_nhanes,1,0.7,pattern_depth,0.5203334995577011,0.8961496586008119,0.1640008550640971,0.06266168439206668,0.8982146300313328
cand_nhanes,1,0.7,random,0.5523884816489525,0.8922821724255395,0.17988876607151394,0.07214716872664559,0.8982146300313328
cand_nhanes,1,0.9,tree_confidence,0.4823059634487842,0.8697371493173747,0.12850148863848151,0.04247708473060586,0.8982146300313328
cand_nhanes,1,0.9,lattice_support,0.4509840672146857,0.8798663523558123,0.16682276794887832,0.0594679186228482,0.8982146300313328
cand_nhanes,1,0.9,pattern_depth,0.5418556066294826,0.9009436028916601,0.16626406823510895,0.06595126313436173,0.8982146300313328
cand_nhanes,1,0.9,random,0.5427040859867363,0.896231694525453,0.17915983808535987,0.07198748043818466,0.8982146300313328
cand_nhanes,2,0.5,tree_confidence,0.2544223131217361,0.7022439024390243,0.05167182835911098,0.01006036217303823,0.8995740475271379
cand_nhanes,2,0.5,lattice_support,0.36790230103642146,0.8448229665071769,0.14360197629421548,0.04426559356136821,0.8995740475271379
cand_nhanes,2,0.5,pattern_depth,0.5990973953604306,0.893164888692655,0.17767559526499088,0.07364185110663984,0.8995740475271379
cand_nhanes,2,0.5,random,0.6246521532174109,0.9062564992901645,0.17295809766548598,0.07766599597585513,0.8995740475271379
cand_nhanes,2,0.7,tree_confidence,0.4071603580011838,0.7976009731063936,0.07173931404247126,0.018970968669157803,0.8995740475271379
cand_nhanes,2,0.7,lattice_support,0.36143940769358635,0.8473236982916468,0.15724576803436535,0.04886461626904283,0.8995740475271379
cand_nhanes,2,0.7,pattern_depth,0.5546304410375825,0.8893880631548793,0.16305604677323476,0.06409887898821501,0.8995740475271379
cand_nhanes,2,0.7,random,0.6219479210634565,0.907733664185277,0.16267781657901634,0.07329692440356424,0.8995740475271379
cand_nhanes,2,0.9,tree_confidence,0.4795796111387314,0.8578545205521773,0.12149776419583558,0.040465012295998214,0.8995740475271379
cand_nhanes,2,0.9,lattice_support,0.5544548933346831,0.8883296019332206,0.15893298440841896,0.06304493628437291,0.8995740475271379
cand_nhanes,2,0.9,pattern_depth,0.5864543009974877,0.8938184653410892,0.1605877796040455,0.06617482673820702,0.8995740475271379
cand_nhanes,2,0.9,random,0.6089501858148972,0.906576675608932,0.15997836685173192,0.0706460988151129,0.8995740475271379
