dataset,fold,arm,auprc,logloss,w_tree
sweep_42739,0,histgb_native,0.8235268880129794,0.3951879555477749,
sweep_42739,0,family_cv,0.6229646463013511,0.5560837565913718,
sweep_42739,0,blend50,0.7755557987417555,0.4435127337422403,
sweep_42739,0,blend_cv,0.8235268880129794,0.3951879555477749,1.0
sweep_42739,0,stack_tree_on_hier,0.7969617633036165,0.41959538460286305,
sweep_42739,0,hier_on_tree_logit,0.8238532253834301,0.3913416466037304,
sweep_42739,1,histgb_native,0.8293109592867363,0.39280163200788415,
sweep_42739,1,family_cv,0.6325380515276356,0.5574785104567268,
sweep_42739,1,blend50,0.7901034986826586,0.43852124282864496,
sweep_42739,1,blend_cv,0.8293109592867363,0.39280163200788415,1.0
sweep_42739,1,stack_tree_on_hier,0.8016034865977564,0.4198586960302353,
sweep_42739,1,hier_on_tree_logit,0.8295125298426704,0.38950788449038054,
sweep_42739,2,histgb_native,0.8207441902847151,0.39577317798061157,
sweep_42739,2,family_cv,0.6151432318835679,0.570455526560265,
sweep_42739,2,blend50,0.7682365882057073,0.4470056795770366,
sweep_42739,2,blend_cv,0.8207441902847151,0.39577317798061157,1.0
sweep_42739,2,stack_tree_on_hier,0.78506359249309,0.43045908951878936,
sweep_42739,2,hier_on_tree_logit,0.8207951360943964,0.3926252415347572,
