dataset,fold,extra_missing,arm,auprc,logloss
cand_mimic4_regime,0,0.0,mean_indicator,0.42371577777353947,0.27210121315834584
cand_mimic4_regime,0,0.0,histgb_native,0.4715564946946873,0.2587471038330267
cand_mimic4_regime,0,0.0,family_cv,0.3990146520496807,0.28968163104133643
cand_mimic4_regime,0,0.1,mean_indicator,0.40375251949143137,0.27989292831519047
cand_mimic4_regime,0,0.1,histgb_native,0.4498387284695116,0.2664451276338465
cand_mimic4_regime,0,0.1,family_cv,0.2913414643989046,0.32020434774022044
cand_mimic4_regime,0,0.3,mean_indicator,0.353313676169597,0.2940490041971623
cand_mimic4_regime,0,0.3,histgb_native,0.3928931068308189,0.28364455081551493
cand_mimic4_regime,0,0.3,family_cv,0.16212785177840566,0.3416563746923524
cand_mimic4_regime,1,0.0,mean_indicator,0.43032326403043664,0.26891882393488525
cand_mimic4_regime,1,0.0,histgb_native,0.4770286841520218,0.2555449939674833
cand_mimic4_regime,1,0.0,family_cv,0.41056233372164924,0.2859222667428354
cand_mimic4_regime,1,0.1,mean_indicator,0.40016971144709407,0.27778493522525644
cand_mimic4_regime,1,0.1,histgb_native,0.44844776930214536,0.26366588977214545
cand_mimic4_regime,1,0.1,family_cv,0.29204824848492555,0.31821292958506
cand_mimic4_regime,1,0.3,mean_indicator,0.34656340174348554,0.29587649405243094
cand_mimic4_regime,1,0.3,histgb_native,0.3947717672262967,0.2791126184537162
cand_mimic4_regime,1,0.3,family_cv,0.18529773586302795,0.3386943185314329
cand_mimic4_regime,2,0.0,mean_indicator,0.4161467023472151,0.2753724662515021
cand_mimic4_regime,2,0.0,histgb_native,0.4598537806864628,0.2609789763215831
cand_mimic4_regime,2,0.0,family_cv,0.38996154688360063,0.2908871214668355
cand_mimic4_regime,2,0.1,mean_indicator,0.3906352213372611,0.28351186516530785
cand_mimic4_regime,2,0.1,histgb_native,0.43054565590872756,0.2693526739375552
cand_mimic4_regime,2,0.1,family_cv,0.29983605804449387,0.31835057785249493
cand_mimic4_regime,2,0.3,mean_indicator,0.3383371383796312,0.2985312874833852
cand_mimic4_regime,2,0.3,histgb_native,0.37762369761365433,0.28543806356543616
cand_mimic4_regime,2,0.3,family_cv,0.20233467558924267,0.33723743744826573
