dataset,fold,coverage,rule,auprc,auroc,logloss,prevalence,full_auroc
cand_mimic4_regime,0,0.5,tree_confidence,0.07333561103575542,0.7489773418491484,0.07892433960551092,0.01721664275466284,0.8500141661112522
cand_mimic4_regime,0,0.5,lattice_support,0.40915130833897817,0.8559947356780443,0.20723751189285544,0.07980631276901004,0.8500141661112522
cand_mimic4_regime,0,0.5,pattern_depth,0.5308314432468847,0.8460298318960107,0.3095800207107321,0.1490315638450502,0.8500141661112522
cand_mimic4_regime,0,0.5,random,0.471716699770734,0.8581604898624171,0.2538608411915014,0.11083213773314203,0.8500141661112522
cand_mimic4_regime,0,0.7,tree_confidence,0.14088728721511598,0.7720825851969964,0.14011412131885587,0.03765851159216088,0.8500141661112522
cand_mimic4_regime,0,0.7,lattice_support,0.4055070736493159,0.8493333282671853,0.22886892117307936,0.09017548354041245,0.8500141661112522
cand_mimic4_regime,0,0.7,pattern_depth,0.4964747844207279,0.8394044017080986,0.2959683108595172,0.13423850390675035,0.8500141661112522
cand_mimic4_regime,0,0.7,random,0.482773111902707,0.8555008140212915,0.25734872695910516,0.1128474446009991,0.8500141661112522
cand_mimic4_regime,0,0.9,tree_confidence,0.37312364938959103,0.8229463300672023,0.2134219639956315,0.07801135797549068,0.8500141661112522
cand_mimic4_regime,0,0.9,lattice_support,0.4620191101347161,0.8536721723200882,0.245592875959963,0.10381588123941417,0.8500141661112522
cand_mimic4_regime,0,0.9,pattern_depth,0.4756508062179814,0.8449710875346471,0.267516544893734,0.11587127627777224,0.8500141661112522
cand_mimic4_regime,0,0.9,random,0.46847078418514454,0.8506329134299013,0.25801239015538124,0.11098933944405699,0.8500141661112522
cand_mimic4_regime,1,0.5,tree_confidence,0.06525532615809353,0.7702153110047846,0.06536367027633497,0.013629842180774749,0.8569596602731094
cand_mimic4_regime,1,0.5,lattice_support,0.3869076551302562,0.8583287402584086,0.20139855902388315,0.07604017216642754,0.8569596602731094
cand_mimic4_regime,1,0.5,pattern_depth,0.5576206671012408,0.8543375402096057,0.3150731123816844,0.15907460545193688,0.8569596602731094
cand_mimic4_regime,1,0.5,random,0.4738307263207765,0.8550700665708132,0.25347455018424214,0.10975609756097561,0.8569596602731094
cand_mimic4_regime,1,0.7,tree_confidence,0.18856322843049017,0.8062106538310363,0.13307251882809018,0.03701806071474318,0.8569596602731094
cand_mimic4_regime,1,0.7,lattice_support,0.40513152190988144,0.8549914828815681,0.2241761778206631,0.08851031125912642,0.8569596602731094
cand_mimic4_regime,1,0.7,pattern_depth,0.505859243883237,0.8450448112791017,0.3017135330863791,0.14051492250544384,0.8569596602731094
cand_mimic4_regime,1,0.7,random,0.491675170600449,0.8604156059250332,0.2551946970263854,0.11323171512744973,0.8569596602731094
cand_mimic4_regime,1,0.9,tree_confidence,0.38374303838558593,0.8388989826568245,0.2119782861820595,0.0794061970708379,0.8569596602731094
cand_mimic4_regime,1,0.9,lattice_support,0.45902253129792253,0.8566950540075231,0.24553970636740027,0.10401514396732091,0.8569596602731094
cand_mimic4_regime,1,0.9,pattern_depth,0.4853449438670084,0.8530064792448694,0.2688378604587386,0.1192587426521869,0.8569596602731094
cand_mimic4_regime,1,0.9,random,0.47366580221602944,0.8548869743814211,0.2569693815001808,0.11148749626382386,0.8569596602731094
cand_mimic4_regime,2,0.5,tree_confidence,0.052248915031388635,0.7497285794119252,0.08074479989342408,0.017395982783357244,0.8492388945356079
cand_mimic4_regime,2,0.5,lattice_support,0.3600658032657052,0.8528557394932572,0.20297623948172697,0.07496413199426112,0.8492388945356079
cand_mimic4_regime,2,0.5,pattern_depth,0.5271714295537635,0.846483035025267,0.3147591353622189,0.1524390243902439,0.8492388945356079
cand_mimic4_regime,2,0.5,random,0.44569283292430795,0.8447948057764798,0.26532544416386367,0.11190817790530846,0.8492388945356079
cand_mimic4_regime,2,0.7,tree_confidence,0.19743506057550828,0.7902758169934639,0.14006647975068662,0.03920061491160646,0.8492388945356079
cand_mimic4_regime,2,0.7,lattice_support,0.4177740672642385,0.8529835826512373,0.2305070086208405,0.09223674096848578,0.8492388945356079
cand_mimic4_regime,2,0.7,pattern_depth,0.4889817770419288,0.8389524225617354,0.3014457418718961,0.13681783243658724,0.8492388945356079
cand_mimic4_regime,2,0.7,random,0.4611890488991109,0.8469652218457864,0.26355116395788236,0.11247758134768127,0.8492388945356079
cand_mimic4_regime,2,0.9,tree_confidence,0.3576317090517469,0.8253526670445243,0.21739030737882972,0.07871662016739737,0.8492388945356079
cand_mimic4_regime,2,0.9,lattice_support,0.4436587553489324,0.8511730662573067,0.25119541785710503,0.10512156237544838,0.8492388945356079
cand_mimic4_regime,2,0.9,pattern_depth,0.4668898737382828,0.845581424122398,0.2714049058336832,0.11747708250298924,0.8492388945356079
cand_mimic4_regime,2,0.9,random,0.45986870159414384,0.8491578890206829,0.2607758389499768,0.1112993224392188,0.8492388945356079
