dataset,variable,obs_frac,stat,windows,window_size,pre_mean,pre_sd,post_first,delay_windows,max_abs_z
cand_airbnb,14,1.0,lattice_unfitted,32,500,0.001875,0.0021758628981911514,1.0,0,458.7260533877231
cand_airbnb,14,1.0,pred_mean_shift,32,500,0.5058864238849596,0.018433282018320046,0.49289499145702925,-1,2.429839610796597
cand_airbnb,14,1.0,pred_ks,32,500,0.05000000000000002,0.02205674600011278,0.06799999999999995,-1,2.176204957873411
cand_airbnb,26,1.0,lattice_unfitted,32,500,0.001875,0.0021758628981911514,1.0,0,458.7260533877231
cand_airbnb,26,1.0,pred_mean_shift,32,500,0.5058864238849596,0.018433282018320046,0.48545977815160984,-1,2.672705727577651
cand_airbnb,26,1.0,pred_ks,32,500,0.05000000000000002,0.02205674600011278,0.07399999999999995,-1,2.357555371029529
cand_airbnb,18,1.0,lattice_unfitted,32,500,0.001875,0.0021758628981911514,1.0,0,458.7260533877231
cand_airbnb,18,1.0,pred_mean_shift,32,500,0.5058864238849596,0.018433282018320046,0.49296307111566173,-1,2.380430214065797
cand_airbnb,18,1.0,pred_ks,32,500,0.05000000000000002,0.02205674600011278,0.06399999999999995,-1,2.085529751295352
cand_airbnb,17,1.0,lattice_unfitted,32,500,0.001875,0.0021758628981911514,1.0,0,458.7260533877231
cand_airbnb,17,1.0,pred_mean_shift,32,500,0.5058864238849596,0.018433282018320046,0.4918470201018222,-1,2.465149723785979
cand_airbnb,17,1.0,pred_ks,32,500,0.05000000000000002,0.02205674600011278,0.06399999999999995,-1,2.0855297512953546
