dataset,fold,arm,auprc,logloss,w_tree
cand_higgs,0,histgb_native,0.8363712949621555,0.37435018808790294,
cand_higgs,0,family_cv,0.6994817074979159,0.47395896295503925,
cand_higgs,0,blend50,0.8195139316749073,0.39912216616085566,
cand_higgs,0,blend_cv,0.8368218566265205,0.3748075603644272,0.9
cand_higgs,0,stack_tree_on_hier,0.8369142031798512,0.3728692187113112,
cand_higgs,0,hier_on_tree_logit,0.8362853117857973,0.37406094739700907,
cand_higgs,1,histgb_native,0.8354855052066905,0.37399359833967655,
cand_higgs,1,family_cv,0.703281251207663,0.47397893013453263,
cand_higgs,1,blend50,0.8194459996573447,0.39901039552125595,
cand_higgs,1,blend_cv,0.835831643868203,0.37421147364225205,0.9
cand_higgs,1,stack_tree_on_hier,0.8345384984809423,0.3754445773556389,
cand_higgs,1,hier_on_tree_logit,0.8355436063592383,0.3739658400243458,
cand_higgs,2,histgb_native,0.8432572692639214,0.36598187947759164,
cand_higgs,2,family_cv,0.7129042569901969,0.46837145003987657,
cand_higgs,2,blend50,0.8250874575482984,0.3949612682279752,
cand_higgs,2,blend_cv,0.8433007316091619,0.3678368170070315,0.9
cand_higgs,2,stack_tree_on_hier,0.8429059999435881,0.3663790444063723,
cand_higgs,2,hier_on_tree_logit,0.8438494724675216,0.3653029655536163,
