dataset,fold,arm,auprc,logloss,w_tree
cand_nhanes,0,histgb_native,0.586219618187893,0.16311438217632948,
cand_nhanes,0,family_cv,0.5181840229844555,0.16992882833805,
cand_nhanes,0,blend50,0.5895136859645527,0.1563307486257714,
cand_nhanes,0,blend_cv,0.5921274466806172,0.15670956929850569,0.8
cand_nhanes,0,stack_tree_on_hier,0.5959515032689745,0.16068517642470703,
cand_nhanes,0,hier_on_tree_logit,0.5893381605063187,0.15693730927114385,
cand_nhanes,1,histgb_native,0.5466728213764761,0.17800763875813463,
cand_nhanes,1,family_cv,0.49318376762511335,0.17250287707730957,
cand_nhanes,1,blend50,0.5627349714150547,0.16362324561375874,
cand_nhanes,1,blend_cv,0.5620919672767448,0.1651761284307062,0.7000000000000001
cand_nhanes,1,stack_tree_on_hier,0.5630748184983797,0.17568452920081384,
cand_nhanes,1,hier_on_tree_logit,0.5705124251612815,0.15983940582842135,
cand_nhanes,2,histgb_native,0.60176745865269,0.16727544236378714,
cand_nhanes,2,family_cv,0.4947160605490718,0.173709635275515,
cand_nhanes,2,blend50,0.5986942261697981,0.1597874846202767,
cand_nhanes,2,blend_cv,0.6037128084251131,0.15902484607584874,0.6000000000000001
cand_nhanes,2,stack_tree_on_hier,0.588257186118321,0.16972250646519127,
cand_nhanes,2,hier_on_tree_logit,0.5985395282796796,0.15785446101198466,
