dataset,fold,extra_missing,arm,auprc,logloss
cand_airbnb,0,0.0,mean_indicator,0.8852391642107812,0.43470423395705704
cand_airbnb,0,0.0,histgb_native,0.9392005689505024,0.3260092012282963
cand_airbnb,0,0.0,family_cv,0.8867603324649366,0.4327586340295531
cand_airbnb,0,0.1,mean_indicator,0.8617687827359929,0.4746327489110919
cand_airbnb,0,0.1,histgb_native,0.9059805616589205,0.3990817030709541
cand_airbnb,0,0.1,family_cv,0.557910211763126,0.6915004758408081
cand_airbnb,0,0.3,mean_indicator,0.8123697101430946,0.5490573471736918
cand_airbnb,0,0.3,histgb_native,0.8245692863575548,0.5377561046903201
cand_airbnb,0,0.3,family_cv,0.496640438191003,0.6970954383319586
cand_airbnb,1,0.0,mean_indicator,0.8820306372881715,0.4408314245442889
cand_airbnb,1,0.0,histgb_native,0.9335649792213885,0.3357532380679952
cand_airbnb,1,0.0,family_cv,0.8826969222160604,0.4392894174616411
cand_airbnb,1,0.1,mean_indicator,0.8283984890091209,0.5375633837491518
cand_airbnb,1,0.1,histgb_native,0.8993886633628558,0.41428146075298006
cand_airbnb,1,0.1,family_cv,0.5646241495993424,0.6870293347947733
cand_airbnb,1,0.3,mean_indicator,0.760020105765242,0.760525763540695
cand_airbnb,1,0.3,histgb_native,0.8195444564957649,0.572639411553675
cand_airbnb,1,0.3,family_cv,0.4981893156819642,0.6960429850663556
cand_airbnb,2,0.0,mean_indicator,0.8889304285874583,0.4307433540417339
cand_airbnb,2,0.0,histgb_native,0.9382383346615574,0.3247308214388242
cand_airbnb,2,0.0,family_cv,0.8898593141713348,0.42631498855846134
cand_airbnb,2,0.1,mean_indicator,0.867454788521298,0.4659927692629397
cand_airbnb,2,0.1,histgb_native,0.905134425044678,0.3988666059875738
cand_airbnb,2,0.1,family_cv,0.5507267810588385,0.6944877297078825
cand_airbnb,2,0.3,mean_indicator,0.8150968395582204,0.5441790745583418
cand_airbnb,2,0.3,histgb_native,0.8261521282648552,0.5458379334893243
cand_airbnb,2,0.3,family_cv,0.4971666631421793,0.6950029848261378
