dataset,fold,extra_missing,arm,auprc,logloss
cand_higgs,0,0.0,mean_indicator,0.6673730621770858,0.50089760362606
cand_higgs,0,0.0,histgb_native,0.8363712949621555,0.37435018808790294
cand_higgs,0,0.0,family_cv,0.6994817074979159,0.47395896295503925
cand_higgs,0,0.1,mean_indicator,0.6188735827391935,0.5396390238903377
cand_higgs,0,0.1,histgb_native,0.8052162232957856,0.40961997997047034
cand_higgs,0,0.1,family_cv,0.3848132345661216,0.636921137463015
cand_higgs,0,0.3,mean_indicator,0.539928964265765,0.6184333509712264
cand_higgs,0,0.3,histgb_native,0.7308875070798213,0.4889547514942803
cand_higgs,0,0.3,family_cv,0.34272371522739264,0.6425880198707137
cand_higgs,1,0.0,mean_indicator,0.6707907004371657,0.49716611892391144
cand_higgs,1,0.0,histgb_native,0.8354855052066905,0.37399359833967655
cand_higgs,1,0.0,family_cv,0.703281251207663,0.47397893013453263
cand_higgs,1,0.1,mean_indicator,0.6199636418813887,0.5370996587367851
cand_higgs,1,0.1,histgb_native,0.8055971393500485,0.4091786003218872
cand_higgs,1,0.1,family_cv,0.3838352117874688,0.6359841116791759
cand_higgs,1,0.3,mean_indicator,0.5353040100053281,0.6221309678587208
cand_higgs,1,0.3,histgb_native,0.7324991741154335,0.4976189642161949
cand_higgs,1,0.3,family_cv,0.3424653864870189,0.6425772747626444
cand_higgs,2,0.0,mean_indicator,0.6787998099320433,0.49275283933556935
cand_higgs,2,0.0,histgb_native,0.8432572692639214,0.36598187947759164
cand_higgs,2,0.0,family_cv,0.7129042569901969,0.46837145003987657
cand_higgs,2,0.1,mean_indicator,0.6249128536858077,0.5328539270084229
cand_higgs,2,0.1,histgb_native,0.8085573010167162,0.4076056673318511
cand_higgs,2,0.1,family_cv,0.384276140799431,0.6393862536033137
cand_higgs,2,0.3,mean_indicator,0.554756757555741,0.6090496005814884
cand_higgs,2,0.3,histgb_native,0.7313446194429165,0.5060926666517036
cand_higgs,2,0.3,family_cv,0.34238374322569026,0.6428341153692243
