dataset,fold,arm,auprc,logloss,w_tree
cand_porto,0,histgb_native,0.04791667442617967,0.1578324325185905,
cand_porto,0,family_cv,0.05196805029897484,0.15393734865574638,
cand_porto,0,blend50,0.05120158605785916,0.15418697570946482,
cand_porto,0,blend_cv,0.05196805029897484,0.15393734865574638,0.0
cand_porto,0,stack_tree_on_hier,0.046230374785738056,0.15803252967636014,
cand_porto,0,hier_on_tree_logit,0.05202217749381526,0.15392868055414224,
cand_porto,1,histgb_native,0.0475164899594962,0.1580800981571055,
cand_porto,1,family_cv,0.05039983797364218,0.1533778297680015,
cand_porto,1,blend50,0.05053926454831185,0.1534826682380585,
cand_porto,1,blend_cv,0.05102023183297057,0.15294660615295635,0.2
cand_porto,1,stack_tree_on_hier,0.04717345383443693,0.1581994813164214,
cand_porto,1,hier_on_tree_logit,0.05051074008351683,0.15331312528074081,
cand_porto,2,histgb_native,0.048460407774334996,0.15825436136393436,
cand_porto,2,family_cv,0.04362900681886294,0.17207798545688563,
cand_porto,2,blend50,0.04735719572364693,0.1581628577710092,
cand_porto,2,blend_cv,0.045934324368321476,0.16033559846291584,0.30000000000000004
cand_porto,2,stack_tree_on_hier,0.04712784412911941,0.1587193207571443,
cand_porto,2,hier_on_tree_logit,0.044057926170572,0.1693811274034891,
