dataset,variable,obs_frac,stat,windows,window_size,pre_mean,pre_sd,post_first,delay_windows,max_abs_z
cand_higgs,14,1.0,lattice_unfitted,32,500,0.0,1e-09,1.0,0,999999999.9999999
cand_higgs,14,1.0,pred_mean_shift,32,500,0.3483782785173538,0.01555041215532169,0.36882336422597717,-1,2.263267141185659
cand_higgs,14,1.0,pred_ks,32,500,0.05925000000000001,0.024288630026768867,0.08200000000000007,-1,1.5130536370102896
cand_higgs,22,1.0,lattice_unfitted,32,500,0.0,1e-09,1.0,0,999999999.9999999
cand_higgs,22,1.0,pred_mean_shift,32,500,0.3483782785173538,0.01555041215532169,0.36424303635390914,-1,2.562675365262994
cand_higgs,22,1.0,pred_ks,32,500,0.05925000000000001,0.024288630026768867,0.07000000000000006,-1,1.286610235552968
cand_higgs,21,1.0,lattice_unfitted,32,500,0.0,1e-09,1.0,0,999999999.9999999
cand_higgs,21,1.0,pred_mean_shift,32,500,0.3483782785173538,0.01555041215532169,0.36166015445309185,-1,2.7876535968215745
cand_higgs,21,1.0,pred_ks,32,500,0.05925000000000001,0.024288630026768867,0.06600000000000006,-1,1.1219241254021903
cand_higgs,20,1.0,lattice_unfitted,32,500,0.0,1e-09,1.0,0,999999999.9999999
cand_higgs,20,1.0,pred_mean_shift,32,500,0.3483782785173538,0.01555041215532169,0.36191719766179636,-1,2.77790491180663
cand_higgs,20,1.0,pred_ks,32,500,0.05925000000000001,0.024288630026768867,0.06800000000000006,-1,1.0395810703267978
