dataset,fold,extra_missing,arm,auprc,logloss
cand_nhanes,0,0.0,mean_indicator,0.5785282723967847,0.1560841703567297
cand_nhanes,0,0.0,histgb_native,0.586219618187893,0.16311438217632948
cand_nhanes,0,0.0,family_cv,0.5181840229844555,0.16992882833805198
cand_nhanes,0,0.1,mean_indicator,0.424658151288803,0.2137417017884061
cand_nhanes,0,0.1,histgb_native,0.5341283855253005,0.1790168040768729
cand_nhanes,0,0.1,family_cv,0.330319924974214,0.21175285141571826
cand_nhanes,0,0.3,mean_indicator,0.26640514260853965,0.31201090751784594
cand_nhanes,0,0.3,histgb_native,0.4468452258971168,0.20305773504372396
cand_nhanes,0,0.3,family_cv,0.12201930399241916,0.24979741717676973
cand_nhanes,1,0.0,mean_indicator,0.5277322187399298,0.16893308466337567
cand_nhanes,1,0.0,histgb_native,0.5466728213764761,0.17800763875813463
cand_nhanes,1,0.0,family_cv,0.49318376762511335,0.1725028770773329
cand_nhanes,1,0.1,mean_indicator,0.4682568488593098,0.18396657681014847
cand_nhanes,1,0.1,histgb_native,0.5143164687364205,0.18244891155988252
cand_nhanes,1,0.1,family_cv,0.2506317254788482,0.22183903128975668
cand_nhanes,1,0.3,mean_indicator,0.3760697599248796,0.2098950317453011
cand_nhanes,1,0.3,histgb_native,0.44342936330893906,0.20403349510506658
cand_nhanes,1,0.3,family_cv,0.1175084978132936,0.25139254018472895
cand_nhanes,2,0.0,mean_indicator,0.5649148408032297,0.1641808549270776
cand_nhanes,2,0.0,histgb_native,0.60176745865269,0.16727544236378714
cand_nhanes,2,0.0,family_cv,0.4947160605490718,0.17370963527552208
cand_nhanes,2,0.1,mean_indicator,0.40957127644655933,0.21452504975168954
cand_nhanes,2,0.1,histgb_native,0.5366169725657451,0.18058909724026637
cand_nhanes,2,0.1,family_cv,0.28007408770074216,0.216352794291578
cand_nhanes,2,0.3,mean_indicator,0.26507224406460744,0.2945343026316245
cand_nhanes,2,0.3,histgb_native,0.4546010509873126,0.20828838601729927
cand_nhanes,2,0.3,family_cv,0.1350708472461783,0.24789388496315687
