dataset,variable,obs_frac,stat,windows,window_size,pre_mean,pre_sd,post_first,delay_windows,max_abs_z
cand_mimic4_regime,41,1.0,lattice_unfitted,26,500,0.5307692307692308,0.02121738808684225,1.0,0,22.115387969066653
cand_mimic4_regime,41,1.0,pred_mean_shift,26,500,0.10294214949274672,0.006904356753201496,0.10021046897574996,-1,1.469063151386521
cand_mimic4_regime,41,1.0,pred_ks,26,500,0.04507692307692309,0.017393463690870335,0.04999999999999999,-1,0.9818011743047251
cand_mimic4_regime,40,1.0,lattice_unfitted,26,500,0.5307692307692308,0.02121738808684225,1.0,0,22.115387969066653
cand_mimic4_regime,40,1.0,pred_mean_shift,26,500,0.10294214949274672,0.006904356753201496,0.09350518215454329,-1,1.539180843349982
cand_mimic4_regime,40,1.0,pred_ks,26,500,0.04507692307692309,0.017393463690870335,0.09000000000000002,-1,2.9277134116654397
cand_mimic4_regime,7,0.9850054797250174,lattice_unfitted,26,500,0.5307692307692308,0.02121738808684225,0.992,0,22.115387969066653
cand_mimic4_regime,7,0.9850054797250174,pred_mean_shift,26,500,0.10294214949274672,0.006904356753201496,0.11067621536329753,7,3.0838519520000784
cand_mimic4_regime,7,0.9850054797250174,pred_ks,26,500,0.04507692307692309,0.017393463690870335,0.08400000000000002,-1,2.237799072964822
cand_mimic4_regime,11,0.9848062169971107,lattice_unfitted,26,500,0.5307692307692308,0.02121738808684225,0.992,0,22.115387969066653
cand_mimic4_regime,11,0.9848062169971107,pred_mean_shift,26,500,0.10294214949274672,0.006904356753201496,0.0970983421448745,-1,1.2570840176263132
cand_mimic4_regime,11,0.9848062169971107,pred_ks,26,500,0.04507692307692309,0.017393463690870335,0.05399999999999999,-1,1.3179132880306652
