dataset,site,n_site,arm,auprc_transfer,auprc_insite_cv
mimic4,0,6048,mean_indicator,0.30503365325235254,0.35214673423289783
mimic4,0,6048,histgb_native,0.35705435127209934,0.3288505482802557
mimic4,0,6048,family_cv,0.3236877201362985,0.36080651397676616
mimic4,1,3880,mean_indicator,0.4243619844065434,0.4571030107059806
mimic4,1,3880,histgb_native,0.4676832254602033,0.42203316168713584
mimic4,1,3880,family_cv,0.404742150325834,0.4291344304128639
mimic4,2,6943,mean_indicator,0.4409386768163696,0.4533306930747347
mimic4,2,6943,histgb_native,0.46094406467041305,0.46497646081255195
mimic4,2,6943,family_cv,0.40994970634293204,0.4463317080681161
mimic4,3,5175,mean_indicator,0.35571674869543074,0.407718225892562
mimic4,3,5175,histgb_native,0.4122284834124412,0.4237089706696345
mimic4,3,5175,family_cv,0.33890758642743674,0.38521753576646134
mimic4,4,2277,mean_indicator,0.045738842935373794,0.07671327789877243
mimic4,4,2277,histgb_native,0.04082654079520717,0.04506829682126706
mimic4,4,2277,family_cv,0.0463847970504772,0.04942276737925968
mimic4,7,4497,mean_indicator,0.28263879553011506,0.3306948296576584
mimic4,7,4497,histgb_native,0.3073000870236043,0.3272523372348686
mimic4,7,4497,family_cv,0.27492248420280196,0.32645363116490483
mimic4,8,3505,mean_indicator,0.33782491202610815,0.3769481556039982
mimic4,8,3505,histgb_native,0.38203254695200717,0.3705178348331268
mimic4,8,3505,family_cv,0.32844499001762917,0.3541447399923992
