dataset,fold,arm,auprc,logloss,w_tree
cand_airbnb,0,histgb_native,0.9392005689505024,0.3260092012282963,
cand_airbnb,0,family_cv,0.8867603324649366,0.43275863402955345,
cand_airbnb,0,blend50,0.9272559539475151,0.35767254479291755,
cand_airbnb,0,blend_cv,0.9392005689505024,0.3260092012282963,1.0
cand_airbnb,0,stack_tree_on_hier,0.9369007713127749,0.3286720164961119,
cand_airbnb,0,hier_on_tree_logit,0.9396135940889794,0.32276497318429326,
cand_airbnb,1,histgb_native,0.9335649792213885,0.3357532380679952,
cand_airbnb,1,family_cv,0.8826969222160604,0.4392894174616418,
cand_airbnb,1,blend50,0.9217154990111371,0.36684672249430655,
cand_airbnb,1,blend_cv,0.9335649792213885,0.3357532380679952,1.0
cand_airbnb,1,stack_tree_on_hier,0.9329541712932047,0.3376885066969791,
cand_airbnb,1,hier_on_tree_logit,0.9337853295043361,0.3348052300870494,
cand_airbnb,2,histgb_native,0.9382383346615574,0.3247308214388242,
cand_airbnb,2,family_cv,0.8898593141713348,0.42631498855846445,
cand_airbnb,2,blend50,0.9272717044961055,0.35620962569855197,
cand_airbnb,2,blend_cv,0.9382383346615574,0.3247308214388242,1.0
cand_airbnb,2,stack_tree_on_hier,0.9379725213890182,0.3252040346807881,
cand_airbnb,2,hier_on_tree_logit,0.9387993015120216,0.32134957707698314,
