dataset,fold,extra_missing,arm,auprc,logloss
cand_porto,0,0.0,mean_indicator,0.053626151706406285,0.15326876216529933
cand_porto,0,0.0,histgb_native,0.04791667442617967,0.1578324325185905
cand_porto,0,0.0,family_cv,0.05196805029897484,0.15393734865574638
cand_porto,0,0.1,mean_indicator,0.042123321981427375,0.1707014119568937
cand_porto,0,0.1,histgb_native,0.0435912384010165,0.15924959856865786
cand_porto,0,0.1,family_cv,0.03608766286936425,0.15526210750968844
cand_porto,0,0.3,mean_indicator,0.037275418625383194,0.2206932033370489
cand_porto,0,0.3,histgb_native,0.040038511623910145,0.161819725052513
cand_porto,0,0.3,family_cv,0.03607319634018299,0.15525715042182153
cand_porto,1,0.0,mean_indicator,0.05087155701734281,0.15430609790199107
cand_porto,1,0.0,histgb_native,0.0475164899594962,0.1580800981571055
cand_porto,1,0.0,family_cv,0.05039983797364218,0.1533778297680015
cand_porto,1,0.1,mean_indicator,0.04403845645031987,0.1599856242959789
cand_porto,1,0.1,histgb_native,0.048043941713554646,0.1576328211449358
cand_porto,1,0.1,family_cv,0.03713515452122762,0.15518292950535562
cand_porto,1,0.3,mean_indicator,0.038930605921920755,0.1815467794753374
cand_porto,1,0.3,histgb_native,0.042619235823982485,0.16080931892684305
cand_porto,1,0.3,family_cv,0.03607590189754744,0.15526603925234753
cand_porto,2,0.0,mean_indicator,0.05837164689813958,0.15412745473284487
cand_porto,2,0.0,histgb_native,0.048460407774334996,0.15825436136393436
cand_porto,2,0.0,family_cv,0.04362900681886294,0.17207798545688563
cand_porto,2,0.1,mean_indicator,0.04306284329263263,0.15578545646921388
cand_porto,2,0.1,histgb_native,0.044865202205410966,0.15861639447826426
cand_porto,2,0.1,family_cv,0.03629269948620423,0.1552435854215644
cand_porto,2,0.3,mean_indicator,0.04183047756167497,0.1590137594937058
cand_porto,2,0.3,histgb_native,0.04488644818724492,0.158661835988485
cand_porto,2,0.3,family_cv,0.03607590189754744,0.15526603925234753
