dataset,variable,obs_frac,stat,windows,window_size,pre_mean,pre_sd,post_first,delay_windows,max_abs_z
cand_porto,0,1.0,lattice_unfitted,32,500,0.003125,0.0031598071649411343,1.0,0,315.4860242930588
cand_porto,0,1.0,pred_mean_shift,32,500,0.03043765381950705,0.0017126991017329591,0.03071032288330139,-1,1.50825958907632
cand_porto,0,1.0,pred_ks,32,500,0.05099999999999999,0.02171405175060847,0.034,-1,1.1513281946239964
cand_porto,31,1.0,lattice_unfitted,32,500,0.003125,0.0031598071649411343,1.0,0,315.4860242930588
cand_porto,31,1.0,pred_mean_shift,32,500,0.03043765381950705,0.0017126991017329591,0.030398380611072678,-1,2.147619081535535
cand_porto,31,1.0,pred_ks,32,500,0.05099999999999999,0.02171405175060847,0.032,-1,0.9671156834841536
cand_porto,32,1.0,lattice_unfitted,32,500,0.003125,0.0031598071649411343,1.0,0,315.4860242930588
cand_porto,32,1.0,pred_mean_shift,32,500,0.03043765381950705,0.0017126991017329591,0.030412982249768558,-1,1.3418443144171197
cand_porto,32,1.0,pred_ks,32,500,0.05099999999999999,0.02171405175060847,0.04200000000000001,-1,1.0592219390540718
cand_porto,33,1.0,lattice_unfitted,32,500,0.003125,0.0031598071649411343,1.0,0,315.4860242930588
cand_porto,33,1.0,pred_mean_shift,32,500,0.03043765381950705,0.0017126991017329591,0.030417547142743553,-1,1.549432126529812
cand_porto,33,1.0,pred_ks,32,500,0.05099999999999999,0.02171405175060847,0.04200000000000004,-1,0.9671156834841523
