cohort,feature_set,subsample_n,pattern_size,ancestor_size,n_shared,mean_abs_diff
lung,baseline,40000,64,33,33,0.29984743689706433
lung,baseline,40000,64,14,14,0.26036603170204736
lung,baseline,40000,64,62,62,0.01585823668827169
lung,baseline,40000,65,14,14,0.22223159453230887
lung,baseline,40000,65,37,37,0.039338558197227036
lung,baseline,40000,65,34,34,0.04072012867498801
lung,baseline,40000,65,63,63,0.2856363639243136
lung,baseline,40000,65,63,63,0.21558783671565634
lung,baseline,40000,65,61,61,0.2756540665306551
lung,baseline,40000,65,14,14,0.2492081876085673
lung,baseline,40000,65,47,47,0.13318912082026127
lung,baseline,40000,65,37,37,0.17562167429451217
lung,baseline,40000,65,60,60,0.005477520048980397
lung,baseline,40000,65,47,47,0.03347070282939198
lung,baseline,40000,65,46,46,0.02703563613348307
lung,baseline,40000,65,53,53,0.2540214977391391
lung,baseline,40000,65,52,52,0.26973463756434946
lung,baseline,40000,65,51,51,0.16892207567390088
lung,baseline,40000,65,44,44,0.23925745676329682
lung,baseline,40000,65,37,37,0.2551428292161419
lung,baseline,40000,65,14,14,0.22027335296676576
lung,baseline,40000,65,60,60,0.009362004165487537
lung,baseline,40000,65,37,37,0.10197908461183391
lung,baseline,40000,65,37,37,0.037964421033101964
lung,baseline,40000,66,65,65,0.008568278513837586
lung,baseline,40000,66,65,65,0.004596511264547973
lung,baseline,40000,66,64,64,0.002926311975162669
lung,baseline,40000,66,65,65,0.1194278776819595
lung,baseline,40000,66,37,37,0.2676585678917047
lung,baseline,40000,66,35,35,0.26047268826781234
lung,baseline,40000,66,62,62,0.12763792320871784
lung,baseline,40000,66,61,61,0.08991906981245762
lung,baseline,40000,66,59,59,0.07217096681306515
lung,baseline,40000,66,57,57,0.024822037021290037
lung,baseline,40000,66,54,54,0.02351250216379622
lung,baseline,40000,66,52,52,0.031157218860148914
lung,baseline,40000,66,44,44,0.030351852908424067
lung,baseline,40000,66,46,46,0.22508501297751404
lung,baseline,40000,66,64,64,0.1434519630764115
lung,baseline,40000,66,59,59,0.2367052239115521
lung,baseline,40000,66,65,65,0.007889346197539511
lung,baseline,40000,66,65,65,0.03250754013949525
lung,baseline,40000,66,65,65,0.09835362739070155
lung,baseline,40000,66,14,14,0.15656128051286372
lung,baseline,40000,66,33,33,0.2989669582788104
lung,baseline,40000,66,34,34,0.1758188517151919
lung,baseline,40000,66,57,57,0.251384363779411
lung,baseline,40000,66,54,54,0.2513133744548287
lung,baseline,40000,66,47,47,0.21323164444033424
lung,baseline,40000,66,44,44,0.2157181834023266
lung,baseline,40000,66,64,64,0.1163205313416782
lung,baseline,40000,66,37,37,0.04419467949553761
lung,baseline,40000,66,14,14,0.28917743947217617
lung,baseline,40000,66,37,37,0.2620798975797749
lung,baseline,40000,66,35,35,0.23194446065557578
lung,baseline,40000,67,47,47,0.14662405809286705
lung,baseline,40000,67,46,46,0.15371129581818538
lung,baseline,40000,67,66,66,0.10277201983733635
lung,baseline,40000,67,66,66,0.009490219229502878
lung,baseline,40000,67,63,63,0.011095754594395688
lung,baseline,40000,67,66,66,0.027652331977342095
lung,baseline,40000,67,64,64,0.0625737767326978
