idea,cohort,arm,permuted,seed,fold,auprc,auroc,n_test,kappa_chosen
R1,colorectal,idea_R1_rooted_cv,0,2,3,0.15379515718639034,0.7730292163299514,8000,1000000.0
R1,colorectal,idea_R1_mean_impute,0,2,4,0.15170673565871962,0.7767263569867282,8000,
R1,colorectal,idea_R1_ours_asis,0,2,4,0.13500458919751834,0.766102715025102,8000,
R1,colorectal,idea_R1_rooted_kinf,0,2,4,0.15170639773830344,0.7767259525076892,8000,
R1,colorectal,idea_R1_rooted_cv,0,2,4,0.15170639773830344,0.7767259525076892,8000,inf
R1,colorectal,idea_R1_mean_impute,0,3,0,0.14587879677555962,0.7607868934128317,8000,
R1,colorectal,idea_R1_ours_asis,0,3,0,0.12910428215213116,0.7579085493916937,8000,
R1,colorectal,idea_R1_rooted_kinf,0,3,0,0.14587879677555965,0.7607868934128317,8000,
R1,colorectal,idea_R1_rooted_cv,0,3,0,0.1462475030697752,0.760579587733508,8000,1000000.0
R1,colorectal,idea_R1_mean_impute,0,3,1,0.15016502403510446,0.7806018274543309,8000,
R1,colorectal,idea_R1_ours_asis,0,3,1,0.13647622519792604,0.7652727692428151,8000,
R1,colorectal,idea_R1_rooted_kinf,0,3,1,0.1501649528235227,0.7806016246112004,8000,
R1,colorectal,idea_R1_rooted_cv,0,3,1,0.1498456111758884,0.7810129904797605,8000,1000000.0
R1,colorectal,idea_R1_mean_impute,0,3,2,0.14649912388368275,0.780119127166592,8000,
R1,colorectal,idea_R1_ours_asis,0,3,2,0.14828225756623248,0.7765949012990249,8000,
R1,colorectal,idea_R1_rooted_kinf,0,3,2,0.14648213847645322,0.780118318208514,8000,
R1,colorectal,idea_R1_rooted_cv,0,3,2,0.14648213847645322,0.780118318208514,8000,inf
R1,colorectal,idea_R1_mean_impute,0,3,3,0.15325070761575932,0.7749812321725863,8000,
R1,colorectal,idea_R1_ours_asis,0,3,3,0.14795848277612225,0.7727092734100333,8000,
R1,colorectal,idea_R1_rooted_kinf,0,3,3,0.15325070761575932,0.7749816366516254,8000,
R1,colorectal,idea_R1_rooted_cv,0,3,3,0.15325070761575932,0.7749816366516254,8000,inf
R1,colorectal,idea_R1_mean_impute,0,3,4,0.1292545914928622,0.7689168779395514,8000,
R1,colorectal,idea_R1_ours_asis,0,3,4,0.12725493002936714,0.7589673002965639,8000,
R1,colorectal,idea_R1_rooted_kinf,0,3,4,0.12925459149286217,0.768917080179071,8000,
R1,colorectal,idea_R1_rooted_cv,0,3,4,0.12925459149286217,0.768917080179071,8000,inf
R1,colorectal,idea_R1_mean_impute,0,4,0,0.16346856760039224,0.7801472559989842,8000,
R1,colorectal,idea_R1_ours_asis,0,4,0,0.13227337015519186,0.7693724317524145,8000,
R1,colorectal,idea_R1_rooted_kinf,0,4,0,0.16346856760039224,0.7801474588421146,8000,
