idea,cohort,arm,permuted,seed,fold,auprc,auroc,n_test,kappa_chosen
R1,lung,idea_R1_ours_asis,0,2,4,0.17786356100094355,0.7831446303789645,8000,
R1,lung,idea_R1_rooted_kinf,0,2,4,0.22180961367802549,0.8101868854952199,8000,
R1,lung,idea_R1_rooted_cv,0,2,4,0.2211541327087526,0.8086749428471117,8000,50000.0
R1,lung,idea_R1_mean_impute,0,3,0,0.16418264484675457,0.7888070349243133,8000,
R1,lung,idea_R1_ours_asis,0,3,0,0.14788980093531104,0.7729927759447521,8000,
R1,lung,idea_R1_rooted_kinf,0,3,0,0.16418264484675457,0.7888072377674435,8000,
R1,lung,idea_R1_rooted_cv,0,3,0,0.1643406694354645,0.7859268653150011,8000,50000.0
R1,lung,idea_R1_mean_impute,0,3,1,0.20545987435663338,0.79600390919281,8000,
R1,lung,idea_R1_ours_asis,0,3,1,0.173806936879584,0.7776616162784045,8000,
R1,lung,idea_R1_rooted_kinf,0,3,1,0.2054598743566334,0.79600390919281,8000,
R1,lung,idea_R1_rooted_cv,0,3,1,0.20552115564214005,0.7967759301473167,8000,1000000.0
R1,lung,idea_R1_mean_impute,0,3,2,0.21372296387498954,0.8053578102475573,8000,
R1,lung,idea_R1_ours_asis,0,3,2,0.17361327173047536,0.7891019999061608,8000,
R1,lung,idea_R1_rooted_kinf,0,3,2,0.21372296387498954,0.8053580124870768,8000,
R1,lung,idea_R1_rooted_cv,0,3,2,0.21372296387498954,0.8053580124870768,8000,inf
R1,lung,idea_R1_mean_impute,0,3,3,0.204406108691195,0.8093817699679167,8000,
R1,lung,idea_R1_ours_asis,0,3,3,0.1697173342355307,0.7946231387897016,8000,
R1,lung,idea_R1_rooted_kinf,0,3,3,0.204406108691195,0.8093817699679168,8000,
R1,lung,idea_R1_rooted_cv,0,3,3,0.20300492888955476,0.8099100195929647,8000,50000.0
R1,lung,idea_R1_mean_impute,0,3,4,0.1893171920949279,0.7989737153341239,8000,
R1,lung,idea_R1_ours_asis,0,3,4,0.16564675993025307,0.7798303291326837,8000,
R1,lung,idea_R1_rooted_kinf,0,3,4,0.1893120336502031,0.7989735130946045,8000,
R1,lung,idea_R1_rooted_cv,0,3,4,0.1904804040423554,0.7996247243475348,8000,1000000.0
R1,lung,idea_R1_mean_impute,0,4,0,0.20905857960043703,0.8048904667379864,8000,
R1,lung,idea_R1_ours_asis,0,4,0,0.1699065808117146,0.782244045438484,8000,
R1,lung,idea_R1_rooted_kinf,0,4,0,0.20905857960043706,0.8048906695811167,8000,
R1,lung,idea_R1_rooted_cv,0,4,0,0.20905857960043706,0.8048906695811167,8000,inf
R1,lung,idea_R1_mean_impute,0,4,1,0.17891287583182722,0.788032579852241,8000,
R1,lung,idea_R1_ours_asis,0,4,1,0.16123485703513418,0.7740094257145859,8000,
R1,lung,idea_R1_rooted_kinf,0,4,1,0.1789123675974778,0.7880323770091106,8000,
R1,lung,idea_R1_rooted_cv,0,4,1,0.1789123675974778,0.7880323770091106,8000,inf
R1,lung,idea_R1_mean_impute,0,4,2,0.21285235947778042,0.8142395632273544,8000,
R1,lung,idea_R1_ours_asis,0,4,2,0.20158045722008222,0.8072540079827983,8000,
R1,lung,idea_R1_rooted_kinf,0,4,2,0.21285228715152257,0.8142393609878349,8000,
R1,lung,idea_R1_rooted_cv,0,4,2,0.2135486504027645,0.8146058189972479,8000,1000000.0
R1,lung,idea_R1_mean_impute,0,4,3,0.19137430352938856,0.7931680254465854,8000,
R1,lung,idea_R1_ours_asis,0,4,3,0.14681185608327965,0.7703420598337752,8000,
R1,lung,idea_R1_rooted_kinf,0,4,3,0.19137430352938856,0.7931680254465854,8000,
R1,lung,idea_R1_rooted_cv,0,4,3,0.19051727330465884,0.7929512246816345,8000,1000000.0
R1,lung,idea_R1_mean_impute,0,4,4,0.18728161387755735,0.7931433522252012,8000,
R1,lung,idea_R1_ours_asis,0,4,4,0.16217367494360443,0.77062357724498,8000,
R1,lung,idea_R1_rooted_kinf,0,4,4,0.18728146378288357,0.7931429477461619,8000,
R1,lung,idea_R1_rooted_cv,0,4,4,0.1881613367993504,0.7933318394574156,8000,1000000.0
R1,lung,idea_R1_mean_impute,1,0,0,0.162752091889427,0.7486915603870085,8000,
R1,lung,idea_R1_ours_asis,1,0,0,0.14843641210727257,0.74140462376859,8000,
R1,lung,idea_R1_rooted_kinf,1,0,0,0.16275209188942696,0.7486915603870085,8000,
R1,lung,idea_R1_rooted_cv,1,0,0,0.16275209188942696,0.7486915603870085,8000,inf
R1,lung,idea_R1_mean_impute,1,0,1,0.2175152367422091,0.7884755892491517,8000,
R1,lung,idea_R1_ours_asis,1,0,1,0.1893511172614159,0.787309646935304,8000,
R1,lung,idea_R1_rooted_kinf,1,0,1,0.21751523674220913,0.7884755892491517,8000,
R1,lung,idea_R1_rooted_cv,1,0,1,0.21707742070585717,0.7906654836855299,8000,50000.0
