cohort,feature_set,n_full,subsample_n,d,prevalence,missing_rate,n_patterns,median_support_ratio
colorectal,baseline,154855,40000,188,0.0387,0.5115,6949,5.5
colorectal,full,154855,40000,379,0.0387,0.7301,9108,1.4
lung,baseline,154855,40000,121,0.0387,0.2756,4585,18.9
lung,full,154855,40000,136,0.0387,0.2813,5638,13.4
ovarian,baseline,78194,40000,116,0.0263,0.1251,4608,35.0
ovarian,full,78194,40000,150,0.0263,0.1955,6227,19.7
prostate,baseline,76661,40000,91,0.0514,0.1437,3472,23.5
prostate,full,76661,40000,114,0.0514,0.1761,4191,17.0
