dataset,n,ceiling_real,ceiling_perm,excess,p
heart-4site,920,0.002088725334219288,0.0027490115816631634,-0.0006602862474438752,0.5783689799581297
colic,368,0.016960168624450992,0.021255643488843953,-0.0042954748643929605,0.6917674814192072
hepatitis,155,0.029542682068824985,0.038465429820287535,-0.00892274775146255,0.7980785306178925
primary-tumor,339,0.005683924026211688,0.001218674873757486,0.004465249152454202,0.025766741221589062
vote,435,0.002205745971523861,0.007000278378355218,-0.0047945324068313575,0.9845851043775208
cylinder-bands,540,0.007524666032943906,0.024142725396978044,-0.01661805936403414,0.970750364481829
eucalyptus,736,0.0030991098286027013,0.006183685474460576,-0.003084575645857875,0.877418122436296
hypothyroid,3772,0.0017710685500497887,-0.0005644902224078467,0.0023355587724576353,0.4421975943205346
