method,median_diff,p_raw,n_pairs,n_dropped,p_holm,cohort,feature_set
pattern_submodels,0.0007487832582653495,3.552713678800501e-15,50,0,2.1316282072803006e-14,colorectal,baseline
spsm_global,0.0009126916292275938,3.134559278805682e-10,50,0,1.567279639402841e-09,colorectal,baseline
mean_impute,-0.005450658317709203,1.6198182883897516e-07,50,0,6.479273153559006e-07,colorectal,baseline
mask_interaction,-0.0053105172802214926,1.4543591948523726e-06,50,0,4.363077584557118e-06,colorectal,baseline
histgb_native,0.005099602504385799,0.004316904154682888,50,0,0.008633808309365776,colorectal,baseline
mean_indicator,-0.0025527510507543025,0.027545164283727885,50,0,0.027545164283727885,colorectal,baseline
