criterion,n_win,auc_hexc,auc_iota
sig_vs_indicator,40,0.756985294117647,0.618014705882353
pos_vs_indicator,70,0.6642857142857143,0.5928571428571429
floor_vs_imputation,64,0.7531960227272727,0.765625
cap_vs_imputation,47,0.8461806766655041,0.7673526334147193
pos_vs_imputation,69,0.7279821627647715,0.761055369751022
