method,median_diff,p_raw,n_pairs,n_dropped,p_holm,cohort,feature_set
mean_impute,-0.02640781641788771,1.7763568394002505e-15,50,0,1.0658141036401503e-14,lung,baseline
mean_indicator,-0.018797776797441004,3.552713678800501e-15,50,0,1.7763568394002505e-14,lung,baseline
mask_interaction,-0.0171103591168439,8.881784197001252e-15,50,0,3.552713678800501e-14,lung,baseline
pattern_submodels,0.0015578423816920012,4.440892098500626e-14,50,0,1.3322676295501878e-13,lung,baseline
histgb_native,-0.01047313446254619,4.2698192537216073e-07,50,0,8.539638507443215e-07,lung,baseline
spsm_global,0.0005006516027763475,7.518488965629899e-06,50,0,7.518488965629899e-06,lung,baseline
