dataset,slice,q,draw,k,fold,arm,auprc,prevalence,n,p,permuted
sweep_46725,holdout,1.0,0,12,0,mean_impute,0.5406136102299982,0.48395,20000,12,0
sweep_46725,holdout,1.0,0,12,0,mean_indicator,0.5371070867305635,0.48395,20000,12,0
sweep_46725,holdout,1.0,0,12,0,family_cv,0.5309905340715053,0.48395,20000,12,0
sweep_46725,holdout,1.0,0,12,0,histgb_native,0.6474765006978558,0.48395,20000,12,0
sweep_46725,holdout,1.0,0,12,1,mean_impute,0.5231801814893562,0.48395,20000,12,0
sweep_46725,holdout,1.0,0,12,1,mean_indicator,0.5232395592485821,0.48395,20000,12,0
sweep_46725,holdout,1.0,0,12,1,family_cv,0.5207703226547591,0.48395,20000,12,0
sweep_46725,holdout,1.0,0,12,1,histgb_native,0.661910629794106,0.48395,20000,12,0
sweep_46725,holdout,1.0,0,12,2,mean_impute,0.5360676761613443,0.48395,20000,12,0
sweep_46725,holdout,1.0,0,12,2,mean_indicator,0.5346554619983265,0.48395,20000,12,0
sweep_46725,holdout,1.0,0,12,2,family_cv,0.5369912765869784,0.48395,20000,12,0
sweep_46725,holdout,1.0,0,12,2,histgb_native,0.6611794218392468,0.48395,20000,12,0
sweep_46725,holdout,0.5,0,6,0,mean_impute,0.512757756748967,0.48395,20000,12,0
sweep_46725,holdout,0.5,0,6,0,mean_indicator,0.5034726505573826,0.48395,20000,12,0
sweep_46725,holdout,0.5,0,6,0,family_cv,0.497906114344074,0.48395,20000,12,0
sweep_46725,holdout,0.5,0,6,0,histgb_native,0.6289097762414205,0.48395,20000,12,0
sweep_46725,holdout,0.5,0,6,1,mean_impute,0.49926055440710027,0.48395,20000,12,0
sweep_46725,holdout,0.5,0,6,1,mean_indicator,0.4986289536351096,0.48395,20000,12,0
sweep_46725,holdout,0.5,0,6,1,family_cv,0.5007577240480685,0.48395,20000,12,0
sweep_46725,holdout,0.5,0,6,1,histgb_native,0.6407125432671914,0.48395,20000,12,0
sweep_46725,holdout,0.5,0,6,2,mean_impute,0.5125299242722718,0.48395,20000,12,0
sweep_46725,holdout,0.5,0,6,2,mean_indicator,0.5080800224062185,0.48395,20000,12,0
sweep_46725,holdout,0.5,0,6,2,family_cv,0.513166136148014,0.48395,20000,12,0
sweep_46725,holdout,0.5,0,6,2,histgb_native,0.6403368301267328,0.48395,20000,12,0
sweep_46725,holdout,0.5,1,6,0,mean_impute,0.5385721927191117,0.48395,20000,12,0
sweep_46725,holdout,0.5,1,6,0,mean_indicator,0.5362165787361377,0.48395,20000,12,0
