method,median_diff,p_raw,n_pairs,n_dropped,p_holm,cohort,feature_set
histgb_native,-0.1946973884279698,1.7763568394002505e-15,50,0,1.0658141036401503e-14,lung,full
mask_interaction,-0.05264872287607128,1.7763568394002505e-15,50,0,1.0658141036401503e-14,lung,full
mean_impute,-0.07827802639984895,1.7763568394002505e-15,50,0,1.0658141036401503e-14,lung,full
mean_indicator,-0.1445097458041749,1.7763568394002505e-15,50,0,1.0658141036401503e-14,lung,full
spsm_global,0.0025998986256700607,3.552713678800501e-15,50,0,1.0658141036401503e-14,lung,full
pattern_submodels,0.0020131273559214485,4.440892098500626e-14,50,0,4.440892098500626e-14,lung,full
