cohort,target,kappa,feature_set,seed,fold,auprc
colorectal,global,0.0,baseline,1,0,0.13549001404580238
colorectal,ancestors,200.0,baseline,1,0,0.13534904635638478
colorectal,global,200.0,baseline,1,0,0.13552146768292278
colorectal,ancestors,500.0,baseline,1,0,0.13529717128524935
colorectal,global,500.0,baseline,1,0,0.13563748493760935
colorectal,ancestors,1000.0,baseline,1,0,0.13565258230477367
colorectal,global,1000.0,baseline,1,0,0.13601283192830002
colorectal,ancestors,2000.0,baseline,1,0,0.13543973351100658
colorectal,global,2000.0,baseline,1,0,0.13605800339871268
colorectal,ancestors,5000.0,baseline,1,0,0.13507531970389788
colorectal,global,5000.0,baseline,1,0,0.1352666230581504
colorectal,ancestors,10000.0,baseline,1,0,0.13401067809064504
colorectal,global,10000.0,baseline,1,0,0.13427706560258867
colorectal,ancestors,50000.0,baseline,1,0,0.13391639296674793
colorectal,global,50000.0,baseline,1,0,0.1366735404251664
colorectal,ancestors,1000000.0,baseline,1,0,0.13306111145531116
colorectal,global,1000000.0,baseline,1,0,0.13456580565784756
colorectal,ancestors,0.0,baseline,1,1,0.1229368669835846
colorectal,global,0.0,baseline,1,1,0.1229368669835846
colorectal,ancestors,200.0,baseline,1,1,0.12319982428278314
colorectal,global,200.0,baseline,1,1,0.1229541559830336
colorectal,ancestors,500.0,baseline,1,1,0.1234902158304366
colorectal,global,500.0,baseline,1,1,0.12270886069309382
colorectal,ancestors,1000.0,baseline,1,1,0.12389055073903005
colorectal,global,1000.0,baseline,1,1,0.1224311587077379
colorectal,ancestors,2000.0,baseline,1,1,0.1244662480887537
colorectal,global,2000.0,baseline,1,1,0.12162115422369046
colorectal,ancestors,5000.0,baseline,1,1,0.1262344356418137
colorectal,global,5000.0,baseline,1,1,0.12029007948845058
colorectal,ancestors,10000.0,baseline,1,1,0.12749476468950516
colorectal,global,10000.0,baseline,1,1,0.1165734045232914
colorectal,ancestors,50000.0,baseline,1,1,0.12705256790344954
colorectal,global,50000.0,baseline,1,1,0.11203523829903106
colorectal,ancestors,1000000.0,baseline,1,1,0.1232810050580192
colorectal,global,1000000.0,baseline,1,1,0.11027747480934244
colorectal,ancestors,0.0,baseline,1,2,0.13149008945391022
colorectal,global,0.0,baseline,1,2,0.13149008945391022
colorectal,ancestors,200.0,baseline,1,2,0.13164301531723394
colorectal,global,200.0,baseline,1,2,0.13196604742764043
colorectal,ancestors,500.0,baseline,1,2,0.13177784960406763
colorectal,global,500.0,baseline,1,2,0.13193892238318103
colorectal,ancestors,1000.0,baseline,1,2,0.13238385816756248
colorectal,global,1000.0,baseline,1,2,0.13168924975068613
colorectal,ancestors,2000.0,baseline,1,2,0.13299081474055396
colorectal,global,2000.0,baseline,1,2,0.13165615070994927
colorectal,ancestors,5000.0,baseline,1,2,0.13443754483608122
colorectal,global,5000.0,baseline,1,2,0.13072635997783935
colorectal,ancestors,10000.0,baseline,1,2,0.13512958466229275
colorectal,global,10000.0,baseline,1,2,0.12965296655801095
colorectal,ancestors,50000.0,baseline,1,2,0.13543959457610646
colorectal,global,50000.0,baseline,1,2,0.1268431999015419
