cohort,feature_set,subsample_n,pattern_size,ancestor_size,n_shared,mean_abs_diff
prostate,baseline,40000,62,55,55,0.09627333920604028
prostate,baseline,40000,62,43,43,0.09247582038010847
prostate,baseline,40000,62,42,42,0.1090668732463523
prostate,baseline,40000,62,38,38,0.10555195524175824
prostate,baseline,40000,62,37,37,0.1908511284413989
prostate,baseline,40000,62,26,26,0.1634577589458019
prostate,baseline,40000,62,61,61,0.26597822737924764
prostate,baseline,40000,62,32,32,0.027881364445160574
prostate,baseline,40000,62,32,32,0.12567941678062908
prostate,baseline,40000,62,31,31,0.03268068146189972
prostate,baseline,40000,62,20,20,0.09389905648641375
prostate,baseline,40000,62,61,61,0.12119454523706125
prostate,baseline,40000,62,34,34,0.12447676807101388
prostate,baseline,40000,62,61,61,0.024030407399174634
prostate,baseline,40000,62,61,61,0.07913814272123276
prostate,baseline,40000,62,60,60,0.01618504596162075
prostate,baseline,40000,62,61,61,0.17025182097828323
prostate,baseline,40000,62,61,61,0.05209394826153177
prostate,baseline,40000,62,60,60,0.05426155183277197
prostate,baseline,40000,62,59,59,0.0437979341205062
prostate,baseline,40000,62,61,61,0.15710645755513564
prostate,baseline,40000,62,59,59,0.1498932864958818
prostate,baseline,40000,62,54,54,0.14585015134001625
prostate,baseline,40000,63,60,60,0.07644573289462624
prostate,baseline,40000,63,54,54,0.13356185118569772
prostate,baseline,40000,63,37,37,0.07353626751974615
prostate,baseline,40000,63,33,33,0.12633994268367216
prostate,baseline,40000,63,60,60,0.10716287700685952
prostate,baseline,40000,63,62,62,0.265121090596484
prostate,baseline,40000,63,62,62,0.24283577989728147
prostate,baseline,40000,63,20,20,0.1872598356322651
prostate,baseline,40000,63,33,33,0.027471029867310367
prostate,baseline,40000,63,20,20,0.17315897569953853
prostate,baseline,40000,63,62,62,0.16260052250096388
prostate,baseline,40000,63,62,62,0.12284209916475126
prostate,baseline,40000,63,60,60,0.012794967680975374
prostate,baseline,40000,63,34,34,0.02576244183867805
prostate,baseline,40000,63,32,32,0.12915147202044971
prostate,baseline,40000,63,31,31,0.13140780499446364
prostate,baseline,40000,63,32,32,0.0349586001627132
prostate,baseline,40000,63,20,20,0.14781176874513463
prostate,baseline,40000,63,32,32,0.1495753161426404
prostate,baseline,40000,63,26,26,0.10258536418458862
prostate,baseline,40000,63,20,20,0.05843151256232715
prostate,baseline,40000,63,34,34,0.026189128608302692
prostate,baseline,40000,63,33,33,0.0291028668723502
prostate,baseline,40000,63,62,62,0.05008177259268205
prostate,baseline,40000,63,62,62,0.10897458717277667
prostate,baseline,40000,63,26,26,0.04727162950858918
prostate,baseline,40000,63,20,20,0.04438251135179121
prostate,baseline,40000,63,62,62,0.15974112187335518
prostate,baseline,40000,63,60,60,0.09350644405230578
prostate,baseline,40000,63,54,54,0.192135876439284
prostate,baseline,40000,63,34,34,0.2317490831148628
prostate,baseline,40000,63,56,56,0.015750760773818706
prostate,baseline,40000,63,53,53,0.00877155491373127
prostate,baseline,40000,63,51,51,0.010841691667744326
prostate,baseline,40000,64,34,34,0.02315130640369527
prostate,baseline,40000,64,33,33,0.028564405740174256
prostate,baseline,40000,64,20,20,0.34516180529158064
prostate,baseline,40000,64,63,63,0.10316896135408823
prostate,baseline,40000,64,55,55,0.08328808661491985
prostate,baseline,40000,64,32,32,0.15731126367082565
prostate,baseline,40000,64,31,31,0.16114403278369602
prostate,baseline,40000,64,63,63,0.005248217601379026
prostate,baseline,40000,64,55,55,0.011448130260858417
prostate,baseline,40000,64,53,53,0.01062806762661582
prostate,baseline,40000,64,63,63,0.01663131641601033
prostate,baseline,40000,64,61,61,0.12605126351317356
prostate,baseline,40000,64,32,32,0.03123101510704702
prostate,baseline,40000,64,63,63,0.005338252788227848
prostate,baseline,40000,64,34,34,0.11272326231865973
prostate,baseline,40000,64,33,33,0.11699250204468355
prostate,baseline,40000,64,56,56,0.22662073054074888
prostate,baseline,40000,64,53,53,0.25029706201231755
prostate,baseline,40000,64,51,51,0.2538821431074818
prostate,baseline,40000,64,55,55,0.08950067831242507
prostate,baseline,40000,64,60,60,0.07193502595597741
prostate,baseline,40000,64,59,59,0.0193519924380031
prostate,baseline,40000,64,38,38,0.019883211122731108
prostate,baseline,40000,64,34,34,0.016278443430099765
prostate,baseline,40000,64,32,32,0.03062888402826386
prostate,baseline,40000,64,53,53,0.08949597392302441
prostate,baseline,40000,64,33,33,0.12657574082493903
prostate,baseline,40000,64,20,20,0.0612627542029192
prostate,baseline,40000,64,34,34,0.02702043694259093
prostate,baseline,40000,64,32,32,0.07710015933680942
prostate,baseline,40000,64,38,38,0.028576886707328206
prostate,baseline,40000,64,34,34,0.11730756384634063
prostate,baseline,40000,64,34,34,0.025363242973064914
prostate,baseline,40000,64,63,63,0.017814034382580488
prostate,baseline,40000,64,63,63,0.30420280717496506
prostate,baseline,40000,64,60,60,0.3168370557016367
prostate,baseline,40000,64,20,20,0.1457423052342109
prostate,baseline,40000,64,13,13,0.2538631800929709
prostate,baseline,40000,64,63,63,0.25950536850631023
prostate,baseline,40000,64,62,62,0.24628077515157384
prostate,baseline,40000,64,62,62,0.239500770766283
prostate,baseline,40000,64,20,20,0.06271217566708523
prostate,baseline,40000,64,62,62,0.03933528473642937
prostate,baseline,40000,64,56,56,0.17411826889478846
prostate,baseline,40000,65,60,60,0.12945399168161678
prostate,baseline,40000,65,59,59,0.13806093127237296
prostate,baseline,40000,65,59,59,0.14392111999679474
prostate,baseline,40000,65,64,64,0.0048506131570909185
prostate,baseline,40000,65,60,60,0.18146779431648188
prostate,baseline,40000,65,59,59,0.18742758507461196
prostate,baseline,40000,65,59,59,0.18559999758427112
prostate,baseline,40000,65,64,64,0.01530404010105354
prostate,baseline,40000,65,63,63,0.07490510411220767
prostate,baseline,40000,65,55,55,0.0108363378091097
prostate,baseline,40000,65,64,64,0.15746792292471867
prostate,baseline,40000,65,60,60,0.023465490329044793
prostate,baseline,40000,65,59,59,0.05115738874366881
prostate,baseline,40000,65,59,59,0.09538409322030436
prostate,baseline,40000,65,54,54,0.09798760641570135
prostate,baseline,40000,65,37,37,0.10638835787086945
prostate,baseline,40000,65,34,34,0.13455466290138005
prostate,baseline,40000,65,26,26,0.11102342950622045
prostate,baseline,40000,65,64,64,0.014304290658614851
prostate,baseline,40000,65,64,64,0.07866212839834869
prostate,baseline,40000,65,64,64,0.032419013806153085
prostate,baseline,40000,65,64,64,0.00453056796029936
prostate,baseline,40000,65,64,64,0.005714590638104121
prostate,baseline,40000,65,62,62,0.020496572460396354
prostate,baseline,40000,65,48,48,0.1269312484111509
prostate,baseline,40000,65,64,64,0.04344902845435275
prostate,baseline,40000,65,63,63,0.0036586444921406914
prostate,baseline,40000,65,60,60,0.014984035271864439
prostate,baseline,40000,65,57,57,0.010435794005414601
prostate,baseline,40000,65,32,32,0.040161421964442744
prostate,baseline,40000,65,37,37,0.15650735384354278
prostate,baseline,40000,65,64,64,0.01696193750489958
prostate,baseline,40000,65,64,64,0.004807566392075096
prostate,baseline,40000,65,61,61,0.07696725100211307
