method,median_diff,p_raw,n_pairs,n_dropped,p_holm,cohort,feature_set
histgb_native,-0.2329707546245034,1.7763568394002505e-15,50,0,1.0658141036401503e-14,prostate,full
mask_interaction,-0.09004912435934424,1.7763568394002505e-15,50,0,1.0658141036401503e-14,prostate,full
mean_impute,-0.10265851163018341,1.7763568394002505e-15,50,0,1.0658141036401503e-14,prostate,full
mean_indicator,-0.14295581210144015,1.7763568394002505e-15,50,0,1.0658141036401503e-14,prostate,full
pattern_submodels,0.0017897894879761456,1.7763568394002505e-15,50,0,1.0658141036401503e-14,prostate,full
spsm_global,-7.661673417591608e-05,0.6051405400941228,50,0,0.6051405400941228,prostate,full
