cohort,feature_set,subsample_n,pattern_size,ancestor_size,n_shared,mean_abs_diff
prostate,full,40000,72,42,42,0.11579942153776383
prostate,full,40000,72,41,41,0.11892121805959312
prostate,full,40000,72,33,33,0.14547236834626742
prostate,full,40000,72,71,71,0.04827448805221842
prostate,full,40000,72,71,71,0.17024967626135581
prostate,full,40000,72,70,70,0.025309940370331973
prostate,full,40000,72,69,69,0.021329480533636685
prostate,full,40000,72,71,71,0.1765087109175176
prostate,full,40000,72,44,44,0.1029520228781246
prostate,full,40000,72,30,30,0.1312990237252626
prostate,full,40000,72,71,71,0.1246397192641625
prostate,full,40000,73,30,30,0.0456959843508079
prostate,full,40000,73,72,72,0.11835736888637356
prostate,full,40000,73,72,72,0.05223976353562173
prostate,full,40000,73,43,43,0.023031199263795654
prostate,full,40000,73,30,30,0.21832327976857735
prostate,full,40000,73,42,42,0.03507308579062553
prostate,full,40000,73,70,70,0.06780959810965771
prostate,full,40000,73,72,72,0.23519679269697036
prostate,full,40000,73,72,72,0.2657976429859048
prostate,full,40000,73,30,30,0.05571599258695403
prostate,full,40000,73,70,70,0.11072140984511737
prostate,full,40000,73,64,64,0.22916938591428324
prostate,full,40000,73,44,44,0.2648923770739287
prostate,full,40000,73,44,44,0.026068522291684073
prostate,full,40000,73,43,43,0.026849619959545802
prostate,full,40000,73,66,66,0.014443740395663648
prostate,full,40000,73,63,63,0.008851642848789039
prostate,full,40000,73,61,61,0.010819014353897862
prostate,full,40000,73,70,70,0.011977111885533007
prostate,full,40000,73,44,44,0.02436695813450538
prostate,full,40000,73,42,42,0.13387626323240917
prostate,full,40000,73,30,30,0.14356050312608995
prostate,full,40000,73,42,42,0.12697748397030154
prostate,full,40000,73,41,41,0.1297831083758522
prostate,full,40000,73,72,72,0.15260661420001245
prostate,full,40000,73,70,70,0.12515071899803704
prostate,full,40000,73,30,30,0.13776651916479155
prostate,full,40000,73,72,72,0.17912825291057485
prostate,full,40000,73,72,72,0.13081854202564952
prostate,full,40000,74,44,44,0.026149345957404316
prostate,full,40000,74,66,66,0.22712845527313177
prostate,full,40000,74,63,63,0.24461964317744805
prostate,full,40000,74,61,61,0.2510888628687189
prostate,full,40000,74,72,72,0.01853178726635517
prostate,full,40000,74,66,66,0.14211455358228908
prostate,full,40000,74,70,70,0.07419959977864371
prostate,full,40000,74,69,69,0.021823772431777248
prostate,full,40000,74,48,48,0.02396080900013992
prostate,full,40000,74,44,44,0.017616789877932446
prostate,full,40000,74,42,42,0.027379733628240484
prostate,full,40000,74,30,30,0.060770557882345644
prostate,full,40000,74,30,30,0.34430436212864984
prostate,full,40000,74,30,30,0.12082780995721316
prostate,full,40000,74,44,44,0.10890349897427831
prostate,full,40000,74,43,43,0.11655629535226406
prostate,full,40000,74,30,30,0.0565185658431102
prostate,full,40000,74,73,73,0.007581514674049568
prostate,full,40000,74,65,65,0.019484540497475323
prostate,full,40000,74,63,63,0.01538757297191584
