method,median_diff,p_raw,n_pairs,n_dropped,p_holm,cohort,feature_set
histgb_native,-0.31317069462544606,1.7763568394002505e-15,50,0,1.0658141036401503e-14,ovarian,full
mean_impute,-0.24938770429843438,1.7763568394002505e-15,50,0,1.0658141036401503e-14,ovarian,full
mean_indicator,-0.30597640690760064,1.7763568394002505e-15,50,0,1.0658141036401503e-14,ovarian,full
pattern_submodels,0.024376543710039847,1.7763568394002505e-15,50,0,1.0658141036401503e-14,ovarian,full
mask_interaction,-0.04779233033876096,3.552713678800501e-15,50,0,1.0658141036401503e-14,ovarian,full
spsm_global,-0.004357164702659497,2.2310435863204248e-06,50,0,2.2310435863204248e-06,ovarian,full
