method,median_diff,p_raw,n_pairs,n_dropped,p_holm,cohort,feature_set
mask_interaction,-0.015858326390683852,1.7763568394002505e-14,50,0,1.0658141036401503e-13,ovarian,baseline
mean_impute,-0.0141681833707352,4.440892098500626e-14,50,0,2.220446049250313e-13,ovarian,baseline
mean_indicator,-0.006921963751265456,3.918623114884667e-08,50,0,1.567449245953867e-07,ovarian,baseline
histgb_native,0.008924101603768254,9.051156624195755e-08,50,0,2.7153469872587266e-07,ovarian,baseline
pattern_submodels,0.00029234207868769624,0.001235703558341683,50,0,0.002471407116683366,ovarian,baseline
spsm_global,0.00032251887845790445,0.020120643634562896,50,0,0.020120643634562896,ovarian,baseline
